cleaned_text,text_length
姐妹你别傻了，一个连尊重你的生命安全避免意外怀孕给你带来生育风险和意外伤害都做不到的人，他配！不！上！你！的！感！情！相信自己，会遇到爱你的正常男人的！,76
结扎以后两人想生孩子了，额那个结扎影响生育吗，不影响倒是挺好,30
所以避孕的所有责任全由女性承担是吧？还是不谈恋爱不婚不孕保平安吧,32
我也想这么说，看了评论区感觉很奇怪为什么这么多婚前性行为的。我个人觉得不婚前性行为可以省去很多麻烦。,50
我也想这么说，看了评论区感觉很奇怪为什么这么多婚前性行为的。我个人觉得不婚前性行为可以省去很多麻烦。,50
啊这什么你们我们的，你又能确定说这些话的是同一群人吗？就这个视频说有为了双方考虑主动带套的男人，也有为了快感不戴套的男人，这两拨人分明就是不同的。请不要轻易归类，可以的话了解一下恐婚丁克这类人，谢谢,99
婚后不准备生娃，丁克族吗？那可能也可以用（不过结婚为了啥啊，我的观念是结婚=陪伴+繁衍后代+育儿）,49
现在不一样了嘛，像古代是不讲究两情相悦结婚的，就是以生育为前提结的婚，说白了就是要找个人生孩子，不然为什么老是那么多三妻四妾的，因为很多双方根本不认识就结婚没有任何选择权，现在则是觉得感情到了想结婚了想和对方过一辈子，但我是那种不想生孩子的人，所以性行为就看个人的想法了，我理解这些，但我自己不会婚前性行为，或者可以说不想有性行为，这是我自己的想法嘛,175
想法不一样很正常，没有什么落不落后的，性行为也是一个享受过程吧，现在只是没那么多人性行为只是单纯为了生育了,53
要是结婚后发现男的萎呢？要离婚男的也不同意。,22
男的结扎也没什么啊！我的邻居的邻居，今年快五十岁了吧，当初生孩子时赶上计划生育，生了两个女儿后就自己去结扎了，他好像还是个木工，现在身体一直很硬朗。 我之所以知道，是因为我和叔叔的小女儿同龄，大家都是朋友。 她们的妈妈重男轻女，喜欢抱怨家里没儿子，我有次好奇就问为什么不再生一个，她就说，你叔叔结扎了，生不了。 小时候不懂这个词的意思，长大后才明白过来。,177
男性结扎后遗症很少，大概率也没有后遗症，有后遗症也只是出血、血肿；感染以及疼痛等，术后休息一小时即可回家，二天后可照常工作。输精管结扎后不留任何后遗症，不影响体力和性功能;同时，男性一般思想开朗，性格爽快，不多疑多虑，因此心理因素的影响比女性小。但是，就中国目前的国情来看，男性结扎必须在夫妇充分理解手术的原理和过程，完全自愿下进行为宜。否则，会造成较大的心理压力，男性结扎主要是进行输精管结扎手术，这种手术操作简便、成功率达94%、损伤小、术后恨恢复快等优点。但是也存在着一些常见的并发症：诸如出血和血肿，通常在术后24小时内发生；感染，可有切口、精索、附睾感染等；输精管痛性结节；附睾淤积；性功能障碍。 不过在术后如果按照规定进行护理，是能够将副作用降低到最小的，男性结扎是不会影响到性功能的，男性结扎是一个很简单、安全的手术，原理是切断或堵塞精子排出体外的通道，这样不会影响精子的产生就目前的技术而言，男性结扎的效果其实是优于女性的。这是因为男性结扎主要是进行输精管的结扎，而女性则是进行输卵管的结扎，输精管的结扎相对来说操作要更简单一些，同时对男性造成的损伤比较小，在术后也更容易恢复，男性在做输精管结扎之后，如果又想要生育孩子的，还可以做复通手术。而女性的结扎手术过程较为复杂，而且即使想要生育孩子，也不一定可以复通。因此，综合来说，男性结扎要更好一些,581
难道找对象就一定要生育?,12
确实啊，说出这种话的，不是丁克的直接分好吧，不管他是不是，说出这种话来，分吧,38
因为只有女性承担生育的风险。如果不带套，男的也可能怀孕，自然完全平等。女性承担生育风险，男性承担更多避孕责任是公平的。,59
交往两三年了倒是还好，毕竟感情基础在，作为男性应该能解释一下，那个20岁最右男生不渴望sex的，都想着和一个自己爱的人到那一步，心理上想生理上更想，这个承认。也不是说刚刚谈恋爱或者怎么样，就摆出来我就是来睡你才和你搞得，而是我们在一起这么久了也有感情这是水到渠成的。当然也有可能是爱的不够深了或者也感情就那样吧。但女孩子一定要保护好自己就是了。,172
其实还有社会歧视的原因，无法结婚进入家庭形成稳定的关系，还有歧视带来的心理压力，一些人变得玩世不恭愤世嫉俗或者抑郁焦虑等。,61
这就要讲到对于艾滋病的理解了。艾滋病的传播途径有：性接触、血液传播、母婴传播，也就是说，艾滋病不会像感冒那样通过日常的接触来传染他人，所以说艾滋病人完全可以像普通人一样生活，一起用餐甚至牵手拥抱都是没有问题的。在这种情况下，你还要求他们主动避让普通人，这本身就已经是歧视了。,137
额，这不是在说你那个方法（让非患者主动避让）基本就要暴露隐私，是一种不妥的方法，怎么又扯到歧视上了呢，相比较于我的方法，你那种不是更加歧视吗？还有，另一方面，确实，我们不应该歧视他们，但是实事求是地讲，人们真的愿意以正常的态度（百分之百一样）对待他们吗？就算是一个流感，被人知道了，也不会与往常那样对待。所以，与其在被知道后便转换态度，伤害到患者内心，不如自己便主动避让。当然，我们需要做的是普及知识，尽量缓解大众对他们的恐惧感，但在还没有基本改善的情况下，面对态度的转变，何尝不又是一种伤害呢？,248
不过我觉得无所谓，日常接触又不会传染，再说也没办法知道周围谁是携带者，倒不如节约精力不去恐惧。而且他们也是受害者，歧视他们对谁都没有好处。,69
我不知道你脑袋想什么的 同居不仅仅有x生活 还得看平日居家 日常生活中很多作风习惯对方能否接受 家务分工这些 同居不和分了影响小 不然等结婚了有娃了离婚吗,77
结婚离婚，一本万利，!,11
思思，我承认你有几分姿色，但是如果我40岁，我一定离婚去娶你，如果我30岁一定分手去娶你，如果我20岁我一定不顾一切的去追你，可是我现在只有7岁，正面临开学的一年级的压力，原谅我这一次，对不起，辜负了你,101
我舅母就是这样流产太多，最后只能做试管。非常遭罪，最后两个人有了孩子还是离婚了。,40
我舅母就是这样流产太多，最后只能做试管。非常遭罪，最后两个人有了孩子还是离婚了。,40
我舅母就是这样流产太多，最后只能做试管。非常遭罪，最后两个人有了孩子还是离婚了。,40
我想楼主的意思是，这类话题的主体是男女没错，但是我们讨论的方向，不应该只是性别的角度。生育、避孕、月经这种问题，归根结底还是人类生理卫生和健康问题。,74
结扎比例低和承担避孕有什么关系？我不能带小雨伞？未婚育且有生育意愿的女性会去结扎吗？至少在我的实践中，即便是在所谓安全期我也老老实实做好措施，因为追求多那一点快感的代价不是目前我能承受的。,94
那就结扎呗，有孩子并且避孕，选择男性结扎不是更好嘛。前提是夫妻双方不想生并且不后悔，要不然哪怕结扎储存了精子，那以后也是要做试管的苦的还是女性,71
最近这方面的内容太多了，总是挑动男女方面的矛盾。为什么女性用药很简单，因为女人用药效果更好更方便。最近这种为“弱者”发声的观点太多了，很怀疑他们的目的，看看美国都成什么样了。我当然希望男女平权，但不是所有一切都相同，平权不是弱化男女区别。女性有生育的权利，她可以决定想生或者不生，男性在这方面的发言权就相对较少。工地搬砖保卫家园等重体力工作男性更有优势，所以通常都是有男性来当这种苦角色。虽然有女战士，女工人，但都是少部分，像男性结扎一样。真的想让国内也像美国一样男女不分吗？美国的那一套自由并不适合中国。可以猜测先是为女性发声，然后又是性少数群体，然后又是各种稀奇古怪的少数群体，把社会弄的人人自危不敢说话。大多数人像我一样并不会歧视少数人，但不能让他们成为主流,332
你觉得女人用药效果更好更方便有什么数据支持吗？现在男性避孕药甚至很多人都不知道，怎么得出这样的结论的？女性是有生育的权利，但是可以决定想生或者不生？你太想当然了吧，一旦意外怀孕，无论生还是不生，对于女性的身体都是不可避免的伤害，而在这个过程中男人有受到任何伤害吗？男女生理结构决定本身就是不公平的,148
同意，虽然戴套也有一定可能会怀孕（防杠），但是为什么那么多男生（或者女生）不想生孩子还不带套啊，然后又各持说法说谁受到危害更大，谁受到危害更小，这不是道德绑架吗碰到这种人建议尽快离开,91
那女生呢？最终生育权可是在女生手里，思想需要崛起,24
问题是你不想生呀，那中止那中止妊娠的要多少费用？那再加上误工费到顶了。,35
大多数都无法做到同工同酬，何况很多企业歧视适婚适育但是未婚未育二胎三胎的女性。何不食肉糜啊,45
你不会真觉得只有男的有买房买车需求吧？还是说带着生育病痛活得长是好事？性教育缺失和避孕手段是相交的线，不要说得像是完全无关一样哦，你猜猜为什么女性受到性迫害的概率和年龄远远低于男性呢,91
问两个问题，什么是同工同酬，你以为的同工真的是同工吗？如果你是公司老板，你会不会也一样歧视？,46
很可惜，我不会解读，我甚至没接触过人文学科，我想不到一个突然男性结扎数据腰斩的单一因变量，但实际生活没有提示我：16年以后的适婚男性更大男子主义了，当然也可能是提示着当代男性责任心或道德水平更低，我不知道。但如我所说，这都不是重点或者终点，你只想争生育权，你很大可能就会失去生育权,140
哦对，想起一件事情，二胎开放那一年是2016年，我俩个表妹一个表弟就是那年出生，那一年附近很多中年夫妻去医院去环要孩子。 有没有意思啊我不把话说完，只要稍微引导，你自然而然就会脑补出自认为的“事实”,99
所以不婚不孕才是最好的选择 对双方都好,19
请问为什么会“意外”怀孕，当双方自愿发生的性行为且不是为了生育那么他们在性行为中追求的是什么,46
你意思是没准备好要小孩的夫妻不能进行性行为？有了二胎三胎以后就不能进行性行为？你去结扎，不就没那么多事了吗。,54
“不是为了生育那么是为了追求什么”⬅️这不是你的原话？,27
基本在适合生育的年龄范围内都会生两三个 起码两个 ——珠三角地区,32
我感觉应该是，在事业刚起步阶段比较容易割舍，然后快三十的不容易舍弃掉自己的事业，因为生育代价太大。在20-30都算是适龄生育期，但是20和30的思想差别很大。,79
srds，社达天性要能解释一切那女生拜金看脸到任何程度或者愿意当巨富阶层的第一万个老婆都是合情合理的，因为追求高质量的（jing）后（zi）代（力量或是外貌基因）和高质量的养育一样是女性的天性啊。不论男女，既然选择了人类现代社会生存就要接受规则，比方说自然界雄性动物为了求交配权要残酷到以生命为代价（雄狮九死一生都说多了，竞争失败别说交配权连命也没有了）而文明社会任何需求都是可以非暴力解决的。不在乎避孕无非是缺乏合理的惩罚机制，既然在女性生理上单方面承担全部代价，想要均摊风险（不均摊没风险就会轻视就会觉得无所谓，这对于素质低的人来说是很自然的事）就必须通过法律等强制手段，类比强制夫妻同休产假等等，有问题就一定能有办法，效果差只能说明不想管或者管的还是不够。,331
反正是我哪怕已经结婚了才知道这个事估计也会离婚吧，一想到可能是阅女无数，向失足妇女伸出过援助之手，就觉得很恶心单身万岁,59
反正是我哪怕已经结婚了才知道这个事估计也会离婚吧，一想到可能是阅女无数，向失足妇女伸出过援助之手，就觉得很恶心单身万岁,59
我很无语，我是结婚后才有的……我好痛苦……我太无语了，现在离婚了,32
这哪里打拳 你对象乱搞被你发现你立马分手了 那么老公被发现有菜花就不能离婚吗？搞笑,41
再说我有说啥不能离婚啥的了吗？,15
不是说不戴套啊因为戴套也可能会出现没戴好或是破了之类的情况，她们那边是鼓励可以将短效避孕药作为双重保险措施，在你有性生活但又没有生育计划的时候，定期服用，可以更保险。而且短效避孕药是要一段时间内连续服用的，中间忘了吃或是啥的避孕效果也大打折扣，而且在防病和卫生上面完全不能替代避孕套。是个互补品，不是替代品，吃不吃的都无所谓，吃不代表就可以不戴套，戴了套也不代表就完全没必要吃。,189
两码事，限制堕胎女生就连最后的生育自主权都失去了，如果是因为意外、避孕失败而怀孕，或者想分手等等……那她怎么办，不被父母欢迎却被迫降生的孩子怎么办,73
1、避孕套成功率不是100%，避孕药也是 2、考虑过强奸诱奸迷奸吗？ 3、怀孕后发现男方出轨家暴骗婚等等，女生决定离婚重新开始，难道还要生下来吗 4、不是父母诚心想要的孩子，生下来又如何，长的大吗？过得好吗？ 能不能多方面想想？脑子呢,117
要不要避孕要不要堕胎，这个东西是很难讲清的。但有一点可以确定，生育权属于女性自己，所以这个是让女性自己来判断的。发生了不正确的关系，有了孩子想打掉，这是很正常的事。双方自愿发生了关系，但是觉得此时的时机不适合或者自己不想生就可以不生啊。否则孩子生下来得不到应有的关怀教育等不是很惨吗？还有，利益的意思很广，身体健康，心理健康都是利益好吧，很多利益都没那么不堪好吧。 最重要的是，大家diss这个广告的原因是价值观不对，简单说一点，紧急避孕药对女性身体有很大伤害，如果只是为了取悦男性真的大可不必。每个人都是独立的个体，好好的爱自己，才能好好的爱别人，也才能让别人好好的爱你。获得伴侣的喜爱靠的绝不应该是伤害自己或者低微的态度， 正向的伴侣关系应该是相互扶持，相互理解。,334
被喷这么厉害么，我和你说几句吧 现在生孩子不是以前，想生几个生几个不考虑养不养的起，所以才会出现避孕措施。无论是恋爱期间还是已经结婚了，如果没有要孩子的打算就都会避孕，那出现了意外情况比如套破了，体内时间过长流出这种情况就会做紧急避孕。但是紧急避孕并不是百分百成功的，因此会有打胎的人。从我的角度看，已经怀孕了，没有条件生比生下来更负责,168
怀了就一定要生下来吗？不说那些qj的意外情况，就说一对夫妻目前没有能力没有环境养孩子但是意外怀孕了（注意哈，意外是说人家已经做了措施但还是怀孕了）就要逼着人家生下来？你说的限制到底是哪种限制？什么样的限制？我感觉到的是，你是认为qj这种的可以堕胎，但是两个人出于情投意合自愿发生关系的怀了再打掉就是不负责任，是这个意思吗？我认为哈，现在已经不是古代缺人口家里必须有新人口诞生的时候了，堕胎只是女性自己的选择，是女性的生育自由，两个人也有权利选择是否要孩子。法律上规定生下来的那一刻才有了人权（想的有些极端），真的不用站在负不负责的道德层面来谴责人家的选择。不过堕胎，避孕药对身体伤害真的超大的，希望小姐姐们都不要有用到这些的一天。,315
亲，是你说的限制堕胎，我本身就是女性，十分反感你说的限制堕胎才会想问你，你觉得限制多少次为合理？我觉得堕胎不该限制，女性享有生育权，同样也享有不生育的权利，享有堕胎的权利。,86
你说的限制堕胎太理想化了，限制的标准是什么，是堕了几个就不能堕了吗？还是说要提高堕胎的门槛（非qj离婚等情况不能堕）？,59
为什么要限制呢？是否生育不是女性的自由吗？,21
你提倡的限制是怎么个限制法你也没细讲。但反正我个人是这样想。生孩子一定要对孩子负责任，因此生孩子肯定是在人生计划里的，而不是随便可以生。那就有一部分女生肯定会面临一个阶段，是现在肯定没准备好，所以肯定不要生孩子。说到这我明白你会怎样觉得，既然肯定不要，就做好措施，或者不要性行为。我同意这是最重要的一步。但是一旦没有控制好自己或者措施因为意外失效，人们需要后备选项吧。比如避孕套破了，为了不会怀孕，只能吃紧急避孕药。紧急避孕药很糟糕，但是好过更差的结果。那么如果有人抱着侥幸心理没吃怀孕了，为了不生下来，难道不是只能打胎吗。打胎很糟糕，但是好过更差的结果啊。你可能觉得前面那么多步骤全失效，闹到要打胎，这非常不负责任。我同意会闹到这步的人非常不负责任。但是比起把孩子生下来无法养育，我觉得打胎是在最后关头起码负了最后的责任。在我心里，不是有了尽量生，就是负责任。可预见的不能给予孩子足够的爱和支持的情况有很多，不止发生在不懂事的年轻男女身上。也发生在很多中年夫妻，金钱和精力无法平衡的二胎母亲身上，我身边就有。我认为说限制堕胎，不如先普及避孕知识。现在很多女生对避孕药闻之色变，很多男生更过分一问三不知。保护自己和爱人的基本手段都不清楚，成了父母就能保护好一个孩子了吗。如果意外怀孕是一对夫妻稀里糊涂的选择推进人生阶段的原因，恐怕我们这代人，人人哭诉的'原生家庭'问题，还会重演在他们的下一代身上。 所以堕胎的存在是必要的。堕胎和避孕药一样，没有人会主观想往自己身上用。要用都是万不得已。所以想办法减少堕胎事件的发生，这个道理似乎ok。但是限制堕胎，请问，怎么限制??,684
哎！我姑且当他没出校园太天真吧！限制堕胎就和现在的不鼓励离婚一样，一旦放开gj为了生育率估计就不是放开而是禁止了，那样单亲妈妈估计就很多了，我也不知道男人为啥都喜欢管女人的子宫，这不应该由女人自己决定嘛！,102
性行为是追求的愉悦又不是追求生育 备孕计划之外的怀孕都说了是意外 意外不是某一具体行为导致的 你说避孕失败的怀孕是性行为导致 就像说意外车祸是开车导致的一样 只能说的确要认真对待采取有效措施 但意外还是可能发生不能完全避免 这不是责任心的问题 本就没冲着生育的性 唯一要负责任的是性本身 是自己和对方的身体健康 真要说建立道德就应该让更多人为自己和对方的健康积极避孕 我本人不认为性有什么额外的责任 强迫的性不关于性而是控制力量 自愿的性只需为性本身负责 忘了之前哪写过 性可能是唯一一个不追求结果快感单纯追求过程快感的行为了 多审慎的避孕都可能发生意外 没办法这个意外只能由女性身体承担 既然是女性自己的身体堕胎是让危害减到最小的方式 相比生育的尽早的人流损伤程度已经算很小了,339
不用你生，一口一个责任的，避孕失败你看不懂吗，是个女的做了就要准备好生吗？性就是为了生育吗,45
看明白你的本意了，就是加强道德底线和责任感呗，出发点是好的，但是你这样信口一来未免空泛，限制，要怎么限制？立法限制？具体规定是怎么样？这种事情本来就比较模糊私密，你不可能让每个要堕胎的女性去和你解释为啥要堕胎，要是人家被强奸怀孕，你是不是还要让她出示被强奸的证明？要是人家因为防护用具出了问题，你是不是要人家去搜集证据？怀孕堕胎的理由千奇百怪，限制堕胎其实不科学，因为对于大多数女性来讲，走过你限制的路其实是个二次伤害的过程。其次，你也没资格要求限制女性堕胎，因为堕不堕是她的自由，就算是她没做好防护不想要这个孩子，也没人有资格强迫她留下，生育权是她自己的，她也没有犯法，别人有资格对她的决定指手画脚吗？换而言之，你自己都还没对社会做出什么贡献呢，你自己道德水平还不知道什么样子呢，就别坐在家里空想通过改造别人来提升社会什么的了，王安石变法是为了改变民生疾苦，到头来百姓过得更苦了，没事别信口就来，太不现实了,404
