主题ID,数据来源,文档数,前10关键词,关键词得分
10,bullets,71,"还避孕, 根本达不到剧痛, 未生育的亲身体验 根本达不到剧痛, 未生育的亲身体验, 不更会导致家庭悲剧吗 前面说流产不好的少假惺惺了, 不要不做功课一头扎进去, 不要不做功课一头扎进去 苦的是, 不要不做功课一头扎进去 苦的是 那你为什么不避孕, 不避孕, 不避孕 所以生育一定要有计划","0.0721, 0.0721, 0.0721, 0.0721, 0.0424, 0.0424, 0.0424, 0.0424, 0.0424, 0.0424"
11,bullets,70,"不想生孩子了, 不想生孩子, 太可怕了, 更不想生孩子了, 不想生小孩, 不想生孩子了 太可怕了, 我真的不想生孩子, 我不想生孩子了, 不想生孩子的千万别生, 但能力不行","0.2275, 0.0893, 0.0878, 0.0708, 0.0708, 0.0708, 0.0708, 0.0708, 0.0416, 0.0416"
12,bullets,70,"高龄产妇, 高龄, 你们一群牛马兰子叨叨你码呢 她47了啊, 你们一群牛马兰子叨叨你码呢, 但是男性高龄产子比女性高龄更易造成胎儿畸形 她的生母是高龄产妇啊 所以孩子身体受影响, 你们一群牛马兰子叨叨你码呢 她47了啊 本来高龄产妇就很危险了, 但是男性高龄产子比女性高龄更易造成胎儿畸形, 会增加孩子患21三体综合征的几率 还是高龄产妇 高龄产妇确定要生, 会增加孩子患21三体综合征的几率 还是高龄产妇, 会增加孩子患21三体综合征的几率","0.3422, 0.1907, 0.0832, 0.0832, 0.0832, 0.0832, 0.0832, 0.0832, 0.0832, 0.0832"
13,bullets,69,"失业偶像, 对啊, 对啊 对啊, 经济压力有点大啊, 失业偶像 失业偶像, 一次换6个套, 一次换6个套 经济压力有点大啊, 为什么会有调解员这种职业 这时候我家为了供大仙卖了房子 同时还买了辆新车, 主持毕竟是失业偶像, 主持毕竟是失业偶像 失业偶像表示很赞","0.1789, 0.1012, 0.0927, 0.0927, 0.0927, 0.0927, 0.0927, 0.0545, 0.0545, 0.0545"
14,bullets,65,"一直体外没怀的, 你的人生凉了一大半 这边建议养已经没有生育功能的老猫呢 久了很大可能丧失生育能力, 你的人生凉了一大半 这边建议养已经没有生育功能的老猫呢, 你的人生凉了一大半, 体外一两年没中标的那个 建议查一下是不是没有生育能力 然后失去生育能力, 体外一两年没中标的那个 建议查一下是不是没有生育能力, 体外一两年没中标的那个, 但是吃多了影响生育 担心药的伤害 那就生下来啊, 但是吃多了影响生育 担心药的伤害, 但是吃多了影响生育","0.0847, 0.0847, 0.0847, 0.0847, 0.0847, 0.0847, 0.0847, 0.0847, 0.0847, 0.0847"
15,bullets,62,"离婚冷静期, 离婚冷静期同理, 离婚冷静期 离婚冷静期, 你家的离婚冷静期好的了哪里去 矛盾和摩擦变多了 封城结束离婚排队, 你家的离婚冷静期好的了哪里去, 你家的离婚冷静期好的了哪里去 矛盾和摩擦变多了, 但是会限制 看现在的离婚冷静期, 但是会限制, 但是 就像离婚冷静期 前面真好的, 但是 就像离婚冷静期","0.4918, 0.1622, 0.1622, 0.0953, 0.0953, 0.0953, 0.0953, 0.0953, 0.0953, 0.0953"
16,bullets,61,"111只有在女性想成为母亲的时候生育才有意义, 你这是在歧视性少数群体谁说只有女人能怀孕 狗头 凭什么为了生育率就可以把女性当工具, 你怎么不说非婚生育 你怎么不说国外给女的交生活费 女的自然能, 你怎么不说非婚生育 你怎么不说国外给女的交生活费, 你怎么不说非婚生育, 你怎么不说国外给女的交生活费 女的自然能 这些都是把女性当生育容器, 你怎么不说国外给女的交生活费 女的自然能, 你怎么不说国外给女的交生活费, 但是女性有权利知道自己的身体在 感谢老六 女性应该更真实全面的了解生育问题才能做出符合自己心, 但是女性有权利知道自己的身体在 感谢老六","0.0880, 0.0880, 0.0880, 0.0880, 0.0880, 0.0880, 0.0880, 0.0880, 0.0880, 0.0880"
17,bullets,61,"up你不要盲目喷, 五万块钱能彻底看清这个男的跟他离婚 我觉得这个教训值得 离婚带拖油瓶, 人家有这个原因会影响, 人家有这个原因会影响 你说离婚原因不止这一个 这种原因离婚的, 什么鬼, 什么鬼 又拿人好处又不离婚, 什么鬼 又拿人好处又不离婚 反咬人家, 介意就早离婚啊, 介意就早离婚啊 以前流过又不是婚内出轨, 介意就早离婚啊 以前流过又不是婚内出轨 这种","0.0532, 0.0532, 0.0532, 0.0532, 0.0532, 0.0532, 0.0532, 0.0532, 0.0532, 0.0532"
18,bullets,61,"提高生育率, 为了生育率, 今年出生率1, 今年出生率1 挺好的, 今年出生率1 挺好的 大家一把起生育率曲线变得更陡峭, 人口增长率跟生育率有关系 但是是两个概念 byd成提高生育率工具了是吧, 他们只是为了提高生育人口, 他们只是为了提高生育人口 会不会是为了提高生育率故意做大的, 他们只是为了提高生育人口 会不会是为了提高生育率故意做大的 很难说, 他们是为了提高生育率吧","0.1366, 0.1097, 0.0520, 0.0520, 0.0520, 0.0520, 0.0520, 0.0520, 0.0520, 0.0520"
19,bullets,60,"谁结扎, 谁不想生孩子 谁结扎, 谁不想生孩子, 谁结扎 谁不想生孩子 谁结扎, 谁不想生孩子 谁结扎 谁不想生孩子, 谁结扎 谁不想生孩子, 不确定生育 男性结扎是最好的选择 结扎恢复生育能力不易, 不能生育咋了, 不能生育咋了 男的结扎有屁后遗症, 不能生育咋了 男的结扎有屁后遗症 结扎可以复通","0.1889, 0.1889, 0.1889, 0.1431, 0.1431, 0.1431, 0.0508, 0.0508, 0.0508, 0.0508"
20,bullets,59,"赶紧打胎离婚, 打胎离婚吧, 离婚 赶紧打胎离婚, 赶紧打胎离婚 赶紧打胎离婚, 事精母怕是想嫁自己儿子 打胎离婚吧, 事精母怕是想嫁自己儿子 打胎离婚吧 这不赶紧离婚逃离吗, 今天不准堕胎, 今天不准堕胎 明天不准离婚, 今天不准堕胎 明天不准离婚 大型双标现场, 从让你打胎的时候就应该离婚","0.2267, 0.1399, 0.1038, 0.1038, 0.0610, 0.0610, 0.0610, 0.0610, 0.0610, 0.0610"
21,bullets,58,"有没有一种可能, 亚洲现在的生育率好像还不如欧美高 然后生育率又低 那就只有一个可能, 黑人的生育率就比白人高, 你猜为什么 说来说去还是因为生育率过低 人口老龄化严重, 你猜为什么 说来说去还是因为生育率过低, 你猜为什么, 你们别笑别人美国 美国的今天就是中国 看来他们生育率也下跌了, 你们别笑别人美国 美国的今天就是中国, 你们别笑别人美国, 低生育率的原因找到了 怀疑中国生育率低了之后也会一步步走向这一步 这生育率再下去国内也会限制的","0.1166, 0.0762, 0.0762, 0.0762, 0.0762, 0.0762, 0.0762, 0.0762, 0.0762, 0.0762"
22,bullets,57,"不想生了, 我不想生, 救命, 救命 不想生了, 我一个都不想生, cool, 更不想生了, 谢谢不想生了, 天呐, 不想生","0.2662, 0.0959, 0.0959, 0.0828, 0.0828, 0.0828, 0.0828, 0.0828, 0.0744, 0.0546"
23,bullets,53,"还钱, 离婚 还钱, 这就是他的目的 结婚然后离婚分财产, 结婚然后离婚分财产, 这就是他的目的, 你说你赔 拿一大笔钱 离婚也不亏, 你说你赔, 你好好赚钱 离婚 看这精明的男人, 你好好赚钱 离婚, 你好好赚钱","0.1665, 0.1665, 0.1235, 0.1235, 0.1235, 0.0726, 0.0726, 0.0726, 0.0726, 0.0726"
24,bullets,51,"不婚不育, 不婚不育是我的想法 有啥难受的 不婚不育的多得是, 不婚不育的多得是, 不婚不育的多得是 人和人的追求不同而已, 不婚不育的多得是 人和人的追求不同而已 还好我不婚不育嘿嘿, 不婚不育真的好快乐啊, 不婚不育真的好快乐啊 很伟大, 不婚不育真的好快乐啊 很伟大 不婚不育, 不婚不育者表示无所畏惧, 不婚不育者表示无所畏惧 每天一遍","0.1918, 0.0532, 0.0532, 0.0532, 0.0532, 0.0532, 0.0532, 0.0532, 0.0532, 0.0532"
25,bullets,50,"离婚吧 离婚吧, 离婚吧 离婚吧 离婚吧, 离婚吧, 一个妈宝男, 一个妈宝男 离婚吧, 一个妈宝男 离婚吧 离婚吧, 离婚呗, , , ","0.3793, 0.3601, 0.2579, 0.0344, 0.0344, 0.0344, 0.0293, 0.0000, 0.0000, 0.0000"
26,bullets,49,"我还不想生儿育女, 我才不想生儿育女, 我才不想生个女儿, 还想生孩子, 母亲不想生, 作为丈夫不该 她对自己都不负责 还想生孩子, 作为丈夫不该, 他说母亲多伟大你为啥不想, 人家当然不愿意带孩子 这是 她们不想生就是不想生母亲也有生育权, 人家当然不愿意带孩子 这是","0.2558, 0.2558, 0.2558, 0.1898, 0.1898, 0.1116, 0.1116, 0.1116, 0.1116, 0.1116"
27,bullets,48,"这还不离婚, 没离婚, 就这还不离婚, 你不该离婚吗, 不错了这么久都没离婚 离婚谈恋爱, 不错了这么久都没离婚, 不错了这么久都没离婚 离婚谈恋爱 太秀了, 为什么不离婚, 为什么不离婚 就这还不离婚 为啥不离婚呢, 为什么不离婚 就这还不离婚","0.1742, 0.1128, 0.1128, 0.1128, 0.0663, 0.0663, 0.0663, 0.0663, 0.0663, 0.0663"
28,bullets,46,"不是 最主要是因为女性生育成本比男性大, 为什么生育这个责任要给女性, 且范围更广 女性生育也是一种牺牲 应当获得更多的回报, 且范围更广 女性生育也是一种牺牲, 且范围更广, 不是 最主要是因为女性生育成本比男性大 因为生育风险绝大多数都是在女性身上啊, 为什么生育这个责任要给女性 痛都要女性来承担 女的真的苦, 为什么生育这个责任要给女性 痛都要女性来承担, 为什么要双方同意呢, 也不是说不要生育 而是把这些风险摆在女性面前然后让她们自己选 选择生育的女性都要面临的问题","0.1760, 0.1760, 0.1760, 0.1760, 0.1760, 0.1760, 0.1760, 0.1760, 0.1760, 0.1760"
29,bullets,45,"人少了, 你还嫌国内人口就业竞争不够卷 母体跟胎儿是竞争关系, 你还嫌国内人口就业竞争不够卷, 你自己过的怎样 必须要完全竞争市场才能实现吧 你们是竞争对手啊喂, 你自己过的怎样 必须要完全竞争市场才能实现吧, 你自己过的怎样, 你们是竞争对手啊喂 意料之中 根本上还是为了政治竞争, 你们是竞争对手啊喂 意料之中, 你们是竞争对手啊喂, 作为hr 真的超级厌恶这个女的 这种女性只会让女性就业越来越","0.0817, 0.0817, 0.0817, 0.0817, 0.0817, 0.0817, 0.0817, 0.0817, 0.0817, 0.0817"
30,bullets,43,"说引发生育焦虑的真是居心叵测, 不敢怪, 说引发生育焦虑的真是居心叵测 说引发生育焦虑的真是居心叵测, 一个真正的人, 你是男的 害怕大家都拒绝结婚生育了, 你是男的 害怕大家都拒绝结婚生育了 的确不怪计划生育, 你想生谁拦着你了哦 吓到个屁啊 想生的照样会生, 你想生谁拦着你了哦 吓到个屁啊, 你想生谁拦着你了哦, 你在制造生育恐惧 bushi 生育本来就很恐怖","0.1979, 0.1469, 0.1469, 0.0863, 0.0863, 0.0863, 0.0863, 0.0863, 0.0863, 0.0863"
31,bullets,42,"离婚 离婚, 离婚 离婚 离婚, 离婚, , , , , , , ","0.4312, 0.4263, 0.2731, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
32,bullets,42,"赶紧离婚 赶紧离婚, 赶紧离婚, 赶紧离婚 赶紧离婚 赶紧离婚, 离婚离婚, 离婚离婚离婚 赶紧离婚, 离婚离婚离婚, 离婚离婚 赶紧离婚, 离婚离婚 赶紧离婚 赶紧离婚, 赶紧离婚 离婚离婚离婚, 赶紧离婚 离婚离婚","0.4200, 0.3860, 0.3336, 0.1166, 0.0865, 0.0865, 0.0865, 0.0865, 0.0865, 0.0865"
33,bullets,40,"内卷, 究极内卷, 你要是真的在内卷的话 男性还是比较有优势的, 你要是真的在内卷的话, 你是怎么推出这个结论的 内卷 太卷了, 你要是真的在内卷的话 男性还是比较有优势的 别吹了, 你是怎么推出这个结论的, 你咋不说 内卷 费钱还担惊受怕, 你咋不说 内卷, 你咋不说","0.2558, 0.1898, 0.1116, 0.1116, 0.1116, 0.1116, 0.1116, 0.1116, 0.1116, 0.1116"
34,bullets,40,"一个月一次, 一个月一次 然后你离婚了, 一年零一个月起诉离婚的 离婚吧 这种, 一年零一个月起诉离婚的 离婚吧, 一年零一个月起诉离婚的, 一个月一次 然后你离婚了 我离婚了, 人家都离婚了, 人家都离婚了 什时候离婚, 人家都离婚了 什时候离婚 我想直接跳, 什时候离婚","0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694"
35,bullets,38,"不是性行为, 纳入式是生育行为, 纳入式是生育行为 不是性行为, 但有的人 但是生育欲也只是一种欲望而已 生育是人的最基本欲望, 但有的人, 但有的人 但是生育欲也只是一种欲望而已, 但是生育欲也只是一种欲望而已 生育是人的最基本欲望, 但是生育欲也只是一种欲望而已, 他要是完全以 生育 为唯一动机进行性行为, 他要是完全以 生育","0.1589, 0.1179, 0.1179, 0.0693, 0.0693, 0.0693, 0.0693, 0.0693, 0.0693, 0.0693"
36,bullets,36,"一些根本就不需要生育的人对别人的权利指指点点让我觉得好笑, 你负担生育 你站着说话不腰疼 前面那个可能是男人, 你负担生育 你站着说话不腰疼, 你负担生育, 你自己去生啊 男人不用生育当然可以说的很美好啊 感动个屁, 你自己去生啊 男人不用生育当然可以说的很美好啊, 你自己去生啊, 你站着说话不腰疼 前面那个可能是男人 不用生育所以觉得不关注也无所谓, 你站着说话不腰疼 前面那个可能是男人, 你站着说话不腰疼","0.0897, 0.0897, 0.0897, 0.0897, 0.0897, 0.0897, 0.0897, 0.0897, 0.0897, 0.0897"
37,bullets,36,"丈夫就是想离婚, 丈夫就是想离婚 这只是借口, 丈夫就是想离婚 这只是借口 他连真相都懒得查, 人家离婚还找你, 人家离婚还找你 这是出轨找小三离婚的借口吧, 人家离婚还找你 这是出轨找小三离婚的借口吧 太好了, 人家都快闹离婚了, 人家都快闹离婚了 丈夫就是想离婚, 人家都快闹离婚了 丈夫就是想离婚 这只是借口, 他老公就是找借口离婚","0.1476, 0.1476, 0.1476, 0.1476, 0.1476, 0.1476, 0.1476, 0.1476, 0.1476, 0.1476"
38,bullets,34,"男性没有生育权, 男性没有生育权 望周知, 望周知, 一个男的去夺女性的生育权 好不好笑 男性没有生育权, 不违法 因为男的没有那种生育权 那男性的生育权去哪儿了, 不违法 因为男的没有那种生育权, 他有资格谈吗, 为什么有发言权 男的能自己生再说生育权吧 男人没有生育权, 为什么有发言权 男的能自己生再说生育权吧, 他有资格谈吗 男的就是没有生育权","0.5615, 0.3679, 0.3238, 0.1307, 0.1307, 0.1307, 0.1307, 0.1307, 0.1307, 0.1307"
39,bullets,34,"不是企业, 生育津贴是国家发的, 不是企业 生育津贴是生育险出的啊, 不是企业 拜托 这个生育补贴难道不是生育险里给的吗, 不是企业 生育津贴是生育险出的啊 企业只是出了基本保险金, 不是企业 拜托, 东汉生育都知道给补贴 还放丈夫一年产假, 不是单纯企业的负担 拿生育津贴, 不是单纯企业的负担 拿生育津贴 公司只会发基本工资了好么, 东汉生育都知道给补贴","0.2511, 0.2511, 0.1476, 0.1476, 0.1476, 0.1476, 0.1476, 0.1476, 0.1476, 0.1476"
40,bullets,33,"必须离婚, 必须离婚 必须离婚, 建议离婚, 必须离婚 必须离婚 必须离婚, 离婚必须离, 必须离婚 离婚必须离, 一定一定要离婚 告诉干嘛, 一定一定要离婚, 一定一定要离婚 告诉干嘛 直接打了离婚, 不吞应该离婚","0.6665, 0.4722, 0.2162, 0.2162, 0.2162, 0.2162, 0.1271, 0.1271, 0.1271, 0.1271"
41,bullets,32,"丈夫想丈夫加家长辈想, 你还知道想生啊 拉倒吧 这还想生孩子那, 你还知道想生啊 拉倒吧, 你还知道想生啊, 你还想生啊 想生的照样生 恐育个p, 你还想生啊 想生的照样生, 你还想生啊, 你女友以后不能生育就不顾 并不搞笑 作为一个不想生孩子的女生我也共情到up主了, 你女友以后不能生育就不顾 并不搞笑, 你女友以后不能生育就不顾","0.1017, 0.1017, 0.1017, 0.1017, 0.1017, 0.1017, 0.1017, 0.1017, 0.1017, 0.1017"
42,bullets,29,"还想着生育, 你居然还想生 你居然还想生育 早tm干嘛去了, 你居然还想生, 了解了还会想生 着年头谁还生育 生育又能生几次呢, 了解了还会想生 着年头谁还生育, 你居然还想生 你居然还想生育, 你居然还想生育, 你居然还想生育 早tm干嘛去了, 你还想生孩子 想生育还这么糟蹋自己 卧槽, 你还想生孩子 想生育还这么糟蹋自己","0.2797, 0.1830, 0.1830, 0.1830, 0.1830, 0.1830, 0.1830, 0.1830, 0.1830, 0.1830"
43,bullets,28,"原生家庭, 不配为人母 这样的原生家庭让女主怎么清醒啊, 不配为人母, 一个愿挨 这个女生好卑微啊 可能是来自原生家庭的伤害吧, 一个愿挨 这个女生好卑微啊, 不配为人母 这样的原生家庭让女主怎么清醒啊 跟穷人家的孩子不一定想生在穷人家一个道理, 从我嘴里出来可能就变成阴阳怪气了, 估计是觉得原生家庭不好 就想自己成家吧, 估计是觉得原生家庭不好, 会在以后找补很多缺失 懂我意思吧 原生家庭","0.4952, 0.1760, 0.1760, 0.1760, 0.1760, 0.1760, 0.1760, 0.1760, 0.1760, 0.1760"
44,bullets,27,"不想生关你什么事, 你爱领养你别生领养去啊 自己不想生就别生 把自己的想法安插在别人身上, 你爱领养你别生领养去啊 自己不想生就别生, 你爱领养你别生领养去啊, 你有条件想生了自然会生 没有条件自然不想生 这就是, 你有条件想生了自然会生 没有条件自然不想生, 你有条件想生了自然会生, 你想生你就生呗谁拦 人家想生关你屁事 能不能滚出去, 你想生你就生呗谁拦 人家想生关你屁事, 你想生你就生呗谁拦","0.0817, 0.0817, 0.0817, 0.0817, 0.0817, 0.0817, 0.0817, 0.0817, 0.0817, 0.0817"
45,bullets,26,"那就离婚呗, 还是离婚吧, 直接离婚, 不要调解了, 以后都安静了, 以后都安静了 那就离婚吧, 不要调解了 直接离婚, 不要调解了 直接离婚 说那么多干嘛, 以后都安静了 那就离婚吧 既然这样那就离婚呗, 那就离婚","0.5680, 0.4114, 0.3333, 0.2691, 0.2691, 0.2691, 0.2691, 0.2691, 0.2691, 0.2289"
46,bullets,26,"报警吧, 离婚吧姐姐, 姐妹, 不但离婚还得报警 这是要报警吧 还离不离婚, woc, woc 别离婚了, 你不仅该离婚, 你不仅该离婚 你还该报警, 你不仅该离婚 你还该报警 离婚顺便报警吧, 你还该报警","0.2432, 0.2432, 0.2012, 0.1430, 0.1430, 0.1430, 0.1430, 0.1430, 0.1430, 0.1430"
47,bullets,25,"快离婚吧, 快离婚, 快离婚吧 快离婚, 快离婚 快离婚吧, 快离婚啊, 你想啥呢, 你想啥呢 快离婚, 你想啥呢 快离婚 快离婚, 天呐, 离婚","0.6691, 0.5935, 0.3384, 0.3384, 0.3384, 0.1989, 0.1989, 0.1989, 0.1520, 0.0316"
48,bullets,22,"一个以为是流产手术同, 但里面是人工流产同意书, 但是安娜给陈欣怡说的还有一份流产 男主说的合约是离婚协议书 里面还对女主进行了补偿, 但是安娜给陈欣怡说的还有一份流产 男主说的合约是离婚协议书, 但是安娜给陈欣怡说的还有一份流产, 但是安娜给陈欣怡看的 女二把男主的离婚协议换成引产手术同意书给女主了 所以女主因为, 但是安娜给陈欣怡看的 女二把男主的离婚协议换成引产手术同意书给女主了, 但是安娜给陈欣怡看的, 但是女二骗女主合约里面要打掉孩子 不是离婚协议 是人工流产同意书, 但是女二骗女主合约里面要打掉孩子 不是离婚协议","0.1017, 0.1017, 0.1017, 0.1017, 0.1017, 0.1017, 0.1017, 0.1017, 0.1017, 0.1017"
49,bullets,21,"y男性不是生育的直接承担者 如果男性想有生育权 就要承担生育责任, y男性不是生育的直接承担者 如果男性想有生育权, y男性不是生育的直接承担者, 他又不会自己怀孕和生产, 也就是说生或者不生 她可以全权决定 至于男人, 也就是说生或者不生 她可以全权决定, 也就是说生或者不生, 不是生育呀, 一帮不生孩子的人决定一帮生孩子的人的生育权 这不是夫妻之间的事情 这是有生育的人是否有决定生育权的事情, 一帮不生孩子的人决定一帮生孩子的人的生育权 这不是夫妻之间的事情","0.2408, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408"
50,bullets,21,"赶紧离婚吧, 赶紧离婚吧 赶紧离婚吧, 他们最后离婚了没有啊 赶紧离婚吧, 他们最后离婚了没有啊, 他们最后离婚了没有啊 赶紧离婚吧 快点离婚吧带着亲生女儿离开那个火坑吧, 赶紧离婚啊, 快跑, 快离婚吧, 赶紧离婚, ","0.9113, 0.6131, 0.2178, 0.2178, 0.2178, 0.1853, 0.1853, 0.1221, 0.0973, 0.0000"
51,bullets,20,"人又不是奴隶, 人又不是奴隶 又不是生育工厂, 人又不是奴隶 又不是生育工厂 这不就是把人当成生育的手段了吗, 人又不是生育机器, 人又不是生育机器 那人也不是生育机器啊, 人又不是生育机器 那人也不是生育机器啊 老生育机器了, 一个么得感情的生育机器 这是污名化生育啊, 一个么得感情的生育机器 这是污名化生育啊 那不就是把人当作生育的工具了吗, 一个么得感情的生育机器, ","0.5083, 0.5083, 0.5083, 0.5083, 0.5083, 0.5083, 0.5083, 0.5083, 0.5083, 0.0000"
52,bullets,20,"一天一个离婚小技巧哈哈哈 不离婚就尊重祝福, 一天一个离婚小技巧哈哈哈, 一天一个离婚小技巧哈哈哈 不离婚就尊重祝福 反正都是丧偶式家庭, 下辈子还 这都不离婚 尊重祝福, 下辈子还 这都不离婚, 下辈子还, 不离婚就尊重祝福 反正都是丧偶式家庭, 不离婚就尊重祝福 反正都是丧偶式家庭 离婚绝对不会比现在更惨, 不能面对又如何, 不离婚就尊重祝福","0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694, 0.1694"
53,bullets,20,"对啊, 不是自己喜欢的就不想生呗 懂了, 你不想生不代表别人不想生 别以己度人, 你不想生不代表别人不想生, 但是想生没人惹你 怪不得现在咋年轻人不想生 你不想生不代表别人不想生, 但是想生没人惹你 怪不得现在咋年轻人不想生, 但是想生没人惹你, 人家是不想生啊 这个没什么好说的吧就是不想生啊 就是不想生, 人家是不想生啊 这个没什么好说的吧就是不想生啊, 人家是不想生啊","0.1156, 0.0934, 0.0934, 0.0934, 0.0934, 0.0934, 0.0934, 0.0934, 0.0934, 0.0934"
54,bullets,18,"不离婚等着过年, 不离婚留着过年, 留着过年啊, 不离婚留着过年 离婚啊 留着过年啊, 不离婚留着过年 这种女的不离婚留着过年吗 这个女的大学上的什么, 不离婚留着过年 这种女的不离婚留着过年吗, 不离婚留着过年吗, 不离婚留着过年吗 看来不止打了一次, 不离婚留着过清明节, 不离婚留着过年吗 看来不止打了一次 以后还会继续打","0.2759, 0.2224, 0.2224, 0.1307, 0.1307, 0.1307, 0.1307, 0.1307, 0.1307, 0.1307"
55,bullets,18,"生育伤害更大, 不会影响就业和工作吗, 不仅要花时间精力 对于身体的伤害也是很大的, 不仅要花时间精力 对于身体的伤害也是很大的 然而男胎不能影响生育率, 不仅要花时间精力, 不会影响就业和工作吗 生育损伤, 主要是对健康有很大的影响 而且对生活质量影响也大, 人流影响自己 生育还会影响孩子啊, 人流影响自己, 主要是对健康有很大的影响 而且对生活质量影响也大 生育也会导致","0.3538, 0.2079, 0.2079, 0.2079, 0.2079, 0.2079, 0.2079, 0.2079, 0.2079, 0.2079"
