Topic,Count,Name,Representation,Representative_Docs,Data_Source
9,73,9_计划生育_计划生育 计划生育_当年计划生育_万恶的计划生育的宣传 计划生育 以前计划生育有这个,"['计划生育', '计划生育 计划生育', '当年计划生育', '万恶的计划生育的宣传 计划生育 以前计划生育有这个', '万恶的计划生育的宣传', '万恶的计划生育的宣传 计划生育', '不人道的计划生育手段', '不人道的计划生育手段 前边说计划生育主要结扎男性的', '不人道的计划生育手段 前边说计划生育主要结扎男性的 并没有', '不是 很多']","['计划生育？？？？', '计划生育', '计划生育']",bullets
10,71,10_还避孕_根本达不到剧痛_未生育的亲身体验 根本达不到剧痛_未生育的亲身体验,"['还避孕', '根本达不到剧痛', '未生育的亲身体验 根本达不到剧痛', '未生育的亲身体验', '不更会导致家庭悲剧吗 前面说流产不好的少假惺惺了', '不要不做功课一头扎进去', '不要不做功课一头扎进去 苦的是', '不要不做功课一头扎进去 苦的是 那你为什么不避孕', '不避孕', '不避孕 所以生育一定要有计划']","['了解怀孕以及相关风险再去生育，不要不做功课一头扎进去，苦的是', '未生育的亲身体验，根本达不到剧痛', '未生育的亲身体验，根本达不到剧痛']",bullets
11,70,11_不想生孩子了_不想生孩子_太可怕了_更不想生孩子了,"['不想生孩子了', '不想生孩子', '太可怕了', '更不想生孩子了', '不想生小孩', '不想生孩子了 太可怕了', '我真的不想生孩子', '我不想生孩子了', '不想生孩子的千万别生', '但能力不行']","['不想生孩子了', '不想生孩子了', '不想生孩子了']",bullets
12,70,12_高龄产妇_高龄_你们一群牛马兰子叨叨你码呢 她47了啊_你们一群牛马兰子叨叨你码呢,"['高龄产妇', '高龄', '你们一群牛马兰子叨叨你码呢 她47了啊', '你们一群牛马兰子叨叨你码呢', '但是男性高龄产子比女性高龄更易造成胎儿畸形 她的生母是高龄产妇啊 所以孩子身体受影响', '你们一群牛马兰子叨叨你码呢 她47了啊 本来高龄产妇就很危险了', '但是男性高龄产子比女性高龄更易造成胎儿畸形', '会增加孩子患21三体综合征的几率 还是高龄产妇 高龄产妇确定要生', '会增加孩子患21三体综合征的几率 还是高龄产妇', '会增加孩子患21三体综合征的几率']","['高龄产妇，又可能遗传，打掉是正确的', '高龄产妇。。。', '高龄产妇。。。']",bullets
13,69,13_失业偶像_对啊_对啊 对啊_经济压力有点大啊,"['失业偶像', '对啊', '对啊 对啊', '经济压力有点大啊', '失业偶像 失业偶像', '一次换6个套', '一次换6个套 经济压力有点大啊', '为什么会有调解员这种职业 这时候我家为了供大仙卖了房子 同时还买了辆新车', '主持毕竟是失业偶像', '主持毕竟是失业偶像 失业偶像表示很赞']","['失业偶像', '呦，失业偶像', '失业偶像！！！']",bullets
14,65,14_一直体外没怀的_你的人生凉了一大半 这边建议养已经没有生育功能的老猫呢 久了很大可能丧失生育能力_你的人生凉了一大半 这边建议养已经没有生育功能的老猫呢_你的人生凉了一大半,"['一直体外没怀的', '你的人生凉了一大半 这边建议养已经没有生育功能的老猫呢 久了很大可能丧失生育能力', '你的人生凉了一大半 这边建议养已经没有生育功能的老猫呢', '你的人生凉了一大半', '体外一两年没中标的那个 建议查一下是不是没有生育能力 然后失去生育能力', '体外一两年没中标的那个 建议查一下是不是没有生育能力', '体外一两年没中标的那个', '但是吃多了影响生育 担心药的伤害 那就生下来啊', '但是吃多了影响生育 担心药的伤害', '但是吃多了影响生育']","['确实。人是会变的，而且像经济条件这种突然负债不想生也是有可能', '这下好了，不仅没有办法，正常的生育了，同时也尿尿尿不出来，跟', '一直体外没怀的 可能有生育障碍 检查一下']",bullets
15,62,15_离婚冷静期_离婚冷静期同理_离婚冷静期 离婚冷静期_你家的离婚冷静期好的了哪里去 矛盾和摩擦变多了 封城结束离婚排队,"['离婚冷静期', '离婚冷静期同理', '离婚冷静期 离婚冷静期', '你家的离婚冷静期好的了哪里去 矛盾和摩擦变多了 封城结束离婚排队', '你家的离婚冷静期好的了哪里去', '你家的离婚冷静期好的了哪里去 矛盾和摩擦变多了', '但是会限制 看现在的离婚冷静期', '但是会限制', '但是 就像离婚冷静期 前面真好的', '但是 就像离婚冷静期']","['离婚冷静期', '离婚冷静期', '离婚冷静期']",bullets
16,61,16_111只有在女性想成为母亲的时候生育才有意义_你这是在歧视性少数群体谁说只有女人能怀孕 狗头 凭什么为了生育率就可以把女性当工具_你怎么不说非婚生育 你怎么不说国外给女的交生活费 女的自然能_你怎么不说非婚生育 你怎么不说国外给女的交生活费,"['111只有在女性想成为母亲的时候生育才有意义', '你这是在歧视性少数群体谁说只有女人能怀孕 狗头 凭什么为了生育率就可以把女性当工具', '你怎么不说非婚生育 你怎么不说国外给女的交生活费 女的自然能', '你怎么不说非婚生育 你怎么不说国外给女的交生活费', '你怎么不说非婚生育', '你怎么不说国外给女的交生活费 女的自然能 这些都是把女性当生育容器', '你怎么不说国外给女的交生活费 女的自然能', '你怎么不说国外给女的交生活费', '但是女性有权利知道自己的身体在 感谢老六 女性应该更真实全面的了解生育问题才能做出符合自己心', '但是女性有权利知道自己的身体在 感谢老六']","['一句话，保守人士眼中，具备生育能力的女性不是人', '从此以后，美国女人沦为生育工具，不论如何都要生下来', '你怎么不说非婚生育？你怎么不说国外给女的交生活费？女的自然能']",bullets
17,61,17_up你不要盲目喷_五万块钱能彻底看清这个男的跟他离婚 我觉得这个教训值得 离婚带拖油瓶_人家有这个原因会影响_人家有这个原因会影响 你说离婚原因不止这一个 这种原因离婚的,"['up你不要盲目喷', '五万块钱能彻底看清这个男的跟他离婚 我觉得这个教训值得 离婚带拖油瓶', '人家有这个原因会影响', '人家有这个原因会影响 你说离婚原因不止这一个 这种原因离婚的', '什么鬼', '什么鬼 又拿人好处又不离婚', '什么鬼 又拿人好处又不离婚 反咬人家', '介意就早离婚啊', '介意就早离婚啊 以前流过又不是婚内出轨', '介意就早离婚啊 以前流过又不是婚内出轨 这种']","['不相信的还要他干嘛，信任都没有的“丈夫”直接自证清白再离婚就', '事情是真的，但有一部分造谣。离婚理由自行搜索男方发言', '说活该的是？？？介意就早离婚啊，以前流过又不是婚内出轨，这种']",bullets
18,61,18_提高生育率_为了生育率_今年出生率1_今年出生率1 挺好的,"['提高生育率', '为了生育率', '今年出生率1', '今年出生率1 挺好的', '今年出生率1 挺好的 大家一把起生育率曲线变得更陡峭', '人口增长率跟生育率有关系 但是是两个概念 byd成提高生育率工具了是吧', '他们只是为了提高生育人口', '他们只是为了提高生育人口 会不会是为了提高生育率故意做大的', '他们只是为了提高生育人口 会不会是为了提高生育率故意做大的 很难说', '他们是为了提高生育率吧']","['《提高生育率》', '提高生育率', '提高生育率']",bullets
19,60,19_谁结扎_谁不想生孩子 谁结扎_谁不想生孩子_谁结扎 谁不想生孩子 谁结扎,"['谁结扎', '谁不想生孩子 谁结扎', '谁不想生孩子', '谁结扎 谁不想生孩子 谁结扎', '谁不想生孩子 谁结扎 谁不想生孩子', '谁结扎 谁不想生孩子', '不确定生育 男性结扎是最好的选择 结扎恢复生育能力不易', '不能生育咋了', '不能生育咋了 男的结扎有屁后遗症', '不能生育咋了 男的结扎有屁后遗症 结扎可以复通']","['谁不想生孩子，谁结扎', '谁不想生孩子，谁结扎', '谁不想生孩子，谁结扎']",bullets
20,59,20_赶紧打胎离婚_打胎离婚吧_离婚 赶紧打胎离婚_赶紧打胎离婚 赶紧打胎离婚,"['赶紧打胎离婚', '打胎离婚吧', '离婚 赶紧打胎离婚', '赶紧打胎离婚 赶紧打胎离婚', '事精母怕是想嫁自己儿子 打胎离婚吧', '事精母怕是想嫁自己儿子 打胎离婚吧 这不赶紧离婚逃离吗', '今天不准堕胎', '今天不准堕胎 明天不准离婚', '今天不准堕胎 明天不准离婚 大型双标现场', '从让你打胎的时候就应该离婚']","['赶紧打胎离婚', '赶紧打胎离婚', '赶紧打胎离婚，让母子俩过']",bullets
21,58,21_有没有一种可能_亚洲现在的生育率好像还不如欧美高 然后生育率又低 那就只有一个可能_黑人的生育率就比白人高_你猜为什么 说来说去还是因为生育率过低 人口老龄化严重,"['有没有一种可能', '亚洲现在的生育率好像还不如欧美高 然后生育率又低 那就只有一个可能', '黑人的生育率就比白人高', '你猜为什么 说来说去还是因为生育率过低 人口老龄化严重', '你猜为什么 说来说去还是因为生育率过低', '你猜为什么', '你们别笑别人美国 美国的今天就是中国 看来他们生育率也下跌了', '你们别笑别人美国 美国的今天就是中国', '你们别笑别人美国', '低生育率的原因找到了 怀疑中国生育率低了之后也会一步步走向这一步 这生育率再下去国内也会限制的']","['之前不是还有调查说生育能力下降了吗，精子质量连年下降，还有生', '有没有一种可能，黑人的生育率就比白人高，基数就不一样', '中国生育率低再保持下去，你们别笑别人美国，美国的今天就是中国']",bullets
22,57,22_不想生了_我不想生_救命_救命 不想生了,"['不想生了', '我不想生', '救命', '救命 不想生了', '我一个都不想生', 'cool', '更不想生了', '谢谢不想生了', '天呐', '不想生']","['不想生了……', '不想生了', '不想生了']",bullets
23,53,23_还钱_离婚 还钱_这就是他的目的 结婚然后离婚分财产_结婚然后离婚分财产,"['还钱', '离婚 还钱', '这就是他的目的 结婚然后离婚分财产', '结婚然后离婚分财产', '这就是他的目的', '你说你赔 拿一大笔钱 离婚也不亏', '你说你赔', '你好好赚钱 离婚 看这精明的男人', '你好好赚钱 离婚', '你好好赚钱']","['离婚 还钱', '离婚，还钱，抚养费', '离婚，还钱']",bullets
24,51,24_不婚不育_不婚不育是我的想法 有啥难受的 不婚不育的多得是_不婚不育的多得是_不婚不育的多得是 人和人的追求不同而已,"['不婚不育', '不婚不育是我的想法 有啥难受的 不婚不育的多得是', '不婚不育的多得是', '不婚不育的多得是 人和人的追求不同而已', '不婚不育的多得是 人和人的追求不同而已 还好我不婚不育嘿嘿', '不婚不育真的好快乐啊', '不婚不育真的好快乐啊 很伟大', '不婚不育真的好快乐啊 很伟大 不婚不育', '不婚不育者表示无所畏惧', '不婚不育者表示无所畏惧 每天一遍']","['每天一遍，不婚不育', '不婚不育', '直接劝退，不婚不育']",bullets
25,50,25_离婚吧 离婚吧_离婚吧 离婚吧 离婚吧_离婚吧_一个妈宝男,"['离婚吧 离婚吧', '离婚吧 离婚吧 离婚吧', '离婚吧', '一个妈宝男', '一个妈宝男 离婚吧', '一个妈宝男 离婚吧 离婚吧', '离婚呗', '', '', '']","['离婚吧', '离婚吧', '离婚吧']",bullets
26,49,26_我还不想生儿育女_我才不想生儿育女_我才不想生个女儿_还想生孩子,"['我还不想生儿育女', '我才不想生儿育女', '我才不想生个女儿', '还想生孩子', '母亲不想生', '作为丈夫不该 她对自己都不负责 还想生孩子', '作为丈夫不该', '他说母亲多伟大你为啥不想', '人家当然不愿意带孩子 这是 她们不想生就是不想生母亲也有生育权', '人家当然不愿意带孩子 这是']","['我才不想生个女儿！（ 另一种可能不太确定。）', '我才不想生儿育女?', '我还不想生儿育女！（这个不是很确定。）']",bullets
27,48,27_这还不离婚_没离婚_就这还不离婚_你不该离婚吗,"['这还不离婚', '没离婚', '就这还不离婚', '你不该离婚吗', '不错了这么久都没离婚 离婚谈恋爱', '不错了这么久都没离婚', '不错了这么久都没离婚 离婚谈恋爱 太秀了', '为什么不离婚', '为什么不离婚 就这还不离婚 为啥不离婚呢', '为什么不离婚 就这还不离婚']","['这还不离婚！！！！！！', '这还不离婚??????', '这还不离婚']",bullets
28,46,28_不是 最主要是因为女性生育成本比男性大_为什么生育这个责任要给女性_且范围更广 女性生育也是一种牺牲 应当获得更多的回报_且范围更广 女性生育也是一种牺牲,"['不是 最主要是因为女性生育成本比男性大', '为什么生育这个责任要给女性', '且范围更广 女性生育也是一种牺牲 应当获得更多的回报', '且范围更广 女性生育也是一种牺牲', '且范围更广', '不是 最主要是因为女性生育成本比男性大 因为生育风险绝大多数都是在女性身上啊', '为什么生育这个责任要给女性 痛都要女性来承担 女的真的苦', '为什么生育这个责任要给女性 痛都要女性来承担', '为什么要双方同意呢', '也不是说不要生育 而是把这些风险摆在女性面前然后让她们自己选 选择生育的女性都要面临的问题']","['为什么要双方同意呢 承担生育风险的是女性罢了', '为什么生育这个责任要给女性，痛都要女性来承担', '也不是说不要生育，而是把这些风险摆在女性面前然后让她们自己选']",bullets
29,45,29_人少了_你还嫌国内人口就业竞争不够卷 母体跟胎儿是竞争关系_你还嫌国内人口就业竞争不够卷_你自己过的怎样 必须要完全竞争市场才能实现吧 你们是竞争对手啊喂,"['人少了', '你还嫌国内人口就业竞争不够卷 母体跟胎儿是竞争关系', '你还嫌国内人口就业竞争不够卷', '你自己过的怎样 必须要完全竞争市场才能实现吧 你们是竞争对手啊喂', '你自己过的怎样 必须要完全竞争市场才能实现吧', '你自己过的怎样', '你们是竞争对手啊喂 意料之中 根本上还是为了政治竞争', '你们是竞争对手啊喂 意料之中', '你们是竞争对手啊喂', '作为hr 真的超级厌恶这个女的 这种女性只会让女性就业越来越']","['跟出生地必然是有关系的呀，人口多，穷，竞争大，心眼子多这是必', '人多了竞争压力很大，中国人真的已经够多了。', '这不是反证？不是女生学文科优势，而是学文科男性少，竞争小，古']",bullets
30,43,30_说引发生育焦虑的真是居心叵测_不敢怪_说引发生育焦虑的真是居心叵测 说引发生育焦虑的真是居心叵测_一个真正的人,"['说引发生育焦虑的真是居心叵测', '不敢怪', '说引发生育焦虑的真是居心叵测 说引发生育焦虑的真是居心叵测', '一个真正的人', '你是男的 害怕大家都拒绝结婚生育了', '你是男的 害怕大家都拒绝结婚生育了 的确不怪计划生育', '你想生谁拦着你了哦 吓到个屁啊 想生的照样会生', '你想生谁拦着你了哦 吓到个屁啊', '你想生谁拦着你了哦', '你在制造生育恐惧 bushi 生育本来就很恐怖']","['说引发生育焦虑的真是居心叵测…', '说引发生育焦虑的真是居心叵测…', '说引发生育焦虑的真是居心叵测…']",bullets
31,42,31_离婚 离婚_离婚 离婚 离婚_离婚_,"['离婚 离婚', '离婚 离婚 离婚', '离婚', '', '', '', '', '', '', '']","['离婚', '离婚', '离婚']",bullets
32,42,32_赶紧离婚 赶紧离婚_赶紧离婚_赶紧离婚 赶紧离婚 赶紧离婚_离婚离婚,"['赶紧离婚 赶紧离婚', '赶紧离婚', '赶紧离婚 赶紧离婚 赶紧离婚', '离婚离婚', '离婚离婚离婚 赶紧离婚', '离婚离婚离婚', '离婚离婚 赶紧离婚', '离婚离婚 赶紧离婚 赶紧离婚', '赶紧离婚 离婚离婚离婚', '赶紧离婚 离婚离婚']","['赶紧离婚', '赶紧离婚', '赶紧离婚，赶紧离婚，赶紧离婚，赶紧离婚，赶紧离']",bullets
33,40,33_内卷_究极内卷_你要是真的在内卷的话 男性还是比较有优势的_你要是真的在内卷的话,"['内卷', '究极内卷', '你要是真的在内卷的话 男性还是比较有优势的', '你要是真的在内卷的话', '你是怎么推出这个结论的 内卷 太卷了', '你要是真的在内卷的话 男性还是比较有优势的 别吹了', '你是怎么推出这个结论的', '你咋不说 内卷 费钱还担惊受怕', '你咋不说 内卷', '你咋不说']","['内卷', '内卷', '内卷，太卷了']",bullets
34,40,34_一个月一次_一个月一次 然后你离婚了_一年零一个月起诉离婚的 离婚吧 这种_一年零一个月起诉离婚的 离婚吧,"['一个月一次', '一个月一次 然后你离婚了', '一年零一个月起诉离婚的 离婚吧 这种', '一年零一个月起诉离婚的 离婚吧', '一年零一个月起诉离婚的', '一个月一次 然后你离婚了 我离婚了', '人家都离婚了', '人家都离婚了 什时候离婚', '人家都离婚了 什时候离婚 我想直接跳', '什时候离婚']","['一个月一次，然后你离婚了。。。', '什时候离婚 我想直接跳', '你又离婚？→_→马克你离婚多少次啊']",bullets
35,38,35_不是性行为_纳入式是生育行为_纳入式是生育行为 不是性行为_但有的人 但是生育欲也只是一种欲望而已 生育是人的最基本欲望,"['不是性行为', '纳入式是生育行为', '纳入式是生育行为 不是性行为', '但有的人 但是生育欲也只是一种欲望而已 生育是人的最基本欲望', '但有的人', '但有的人 但是生育欲也只是一种欲望而已', '但是生育欲也只是一种欲望而已 生育是人的最基本欲望', '但是生育欲也只是一种欲望而已', '他要是完全以 生育 为唯一动机进行性行为', '他要是完全以 生育']","['不是，他要是完全以“生育”为唯一动机进行性行为，为什么会被多', '切记，纳入式是生育行为，不是性行为', '纳入式是生育行为，不是性行为！！不是性行为！！']",bullets
36,36,36_一些根本就不需要生育的人对别人的权利指指点点让我觉得好笑_你负担生育 你站着说话不腰疼 前面那个可能是男人_你负担生育 你站着说话不腰疼_你负担生育,"['一些根本就不需要生育的人对别人的权利指指点点让我觉得好笑', '你负担生育 你站着说话不腰疼 前面那个可能是男人', '你负担生育 你站着说话不腰疼', '你负担生育', '你自己去生啊 男人不用生育当然可以说的很美好啊 感动个屁', '你自己去生啊 男人不用生育当然可以说的很美好啊', '你自己去生啊', '你站着说话不腰疼 前面那个可能是男人 不用生育所以觉得不关注也无所谓', '你站着说话不腰疼 前面那个可能是男人', '你站着说话不腰疼']","['你负担生育？你站着说话不腰疼', '？什么叫无所谓啊，他不是在表达他没有生育权吗', '男性有生育权，不过仅在枪响之前，不想负养育的责任，可以做所有']",bullets
37,36,37_丈夫就是想离婚_丈夫就是想离婚 这只是借口_丈夫就是想离婚 这只是借口 他连真相都懒得查_人家离婚还找你,"['丈夫就是想离婚', '丈夫就是想离婚 这只是借口', '丈夫就是想离婚 这只是借口 他连真相都懒得查', '人家离婚还找你', '人家离婚还找你 这是出轨找小三离婚的借口吧', '人家离婚还找你 这是出轨找小三离婚的借口吧 太好了', '人家都快闹离婚了', '人家都快闹离婚了 丈夫就是想离婚', '人家都快闹离婚了 丈夫就是想离婚 这只是借口', '他老公就是找借口离婚']","['你老公就是想离婚吧', '这是找理由的，估计想和你离婚了', '丈夫就是想离婚，这只是借口，他连真相都懒得查']",bullets
38,34,38_男性没有生育权_男性没有生育权 望周知_望周知_一个男的去夺女性的生育权 好不好笑 男性没有生育权,"['男性没有生育权', '男性没有生育权 望周知', '望周知', '一个男的去夺女性的生育权 好不好笑 男性没有生育权', '不违法 因为男的没有那种生育权 那男性的生育权去哪儿了', '不违法 因为男的没有那种生育权', '他有资格谈吗', '为什么有发言权 男的能自己生再说生育权吧 男人没有生育权', '为什么有发言权 男的能自己生再说生育权吧', '他有资格谈吗 男的就是没有生育权']","['男性没有生育权，望周知', '男性没有生育权，望周知', '男性没有生育权 望周知']",bullets
39,34,39_不是企业_生育津贴是国家发的_不是企业 生育津贴是生育险出的啊_不是企业 拜托 这个生育补贴难道不是生育险里给的吗,"['不是企业', '生育津贴是国家发的', '不是企业 生育津贴是生育险出的啊', '不是企业 拜托 这个生育补贴难道不是生育险里给的吗', '不是企业 生育津贴是生育险出的啊 企业只是出了基本保险金', '不是企业 拜托', '东汉生育都知道给补贴 还放丈夫一年产假', '不是单纯企业的负担 拿生育津贴', '不是单纯企业的负担 拿生育津贴 公司只会发基本工资了好么', '东汉生育都知道给补贴']","['生育金是国家出的 不是企业', '生育津贴是政府发的，不是企业', '生育津贴是国家发的，企业只是帮忙申请一下']",bullets
40,33,40_必须离婚_必须离婚 必须离婚_建议离婚_必须离婚 必须离婚 必须离婚,"['必须离婚', '必须离婚 必须离婚', '建议离婚', '必须离婚 必须离婚 必须离婚', '离婚必须离', '必须离婚 离婚必须离', '一定一定要离婚 告诉干嘛', '一定一定要离婚', '一定一定要离婚 告诉干嘛 直接打了离婚', '不吞应该离婚']","['必须离婚', '必须离婚', '必须离婚！！']",bullets
41,32,41_丈夫想丈夫加家长辈想_你还知道想生啊 拉倒吧 这还想生孩子那_你还知道想生啊 拉倒吧_你还知道想生啊,"['丈夫想丈夫加家长辈想', '你还知道想生啊 拉倒吧 这还想生孩子那', '你还知道想生啊 拉倒吧', '你还知道想生啊', '你还想生啊 想生的照样生 恐育个p', '你还想生啊 想生的照样生', '你还想生啊', '你女友以后不能生育就不顾 并不搞笑 作为一个不想生孩子的女生我也共情到up主了', '你女友以后不能生育就不顾 并不搞笑', '你女友以后不能生育就不顾']","['你还知道想生啊，拉倒吧', '人家很想生你来一个 不能不生吗', '你不想怀别嫁给他啊，人家要孩子呢！不想生别耽误大家']",bullets
42,29,42_还想着生育_你居然还想生 你居然还想生育 早tm干嘛去了_你居然还想生_了解了还会想生 着年头谁还生育 生育又能生几次呢,"['还想着生育', '你居然还想生 你居然还想生育 早tm干嘛去了', '你居然还想生', '了解了还会想生 着年头谁还生育 生育又能生几次呢', '了解了还会想生 着年头谁还生育', '你居然还想生 你居然还想生育', '你居然还想生育', '你居然还想生育 早tm干嘛去了', '你还想生孩子 想生育还这么糟蹋自己 卧槽', '你还想生孩子 想生育还这么糟蹋自己']","['你居然还想生育！早tm干嘛去了', '还想着生育……早干嘛去了', '还想着生育']",bullets
43,28,43_原生家庭_不配为人母 这样的原生家庭让女主怎么清醒啊_不配为人母_一个愿挨 这个女生好卑微啊 可能是来自原生家庭的伤害吧,"['原生家庭', '不配为人母 这样的原生家庭让女主怎么清醒啊', '不配为人母', '一个愿挨 这个女生好卑微啊 可能是来自原生家庭的伤害吧', '一个愿挨 这个女生好卑微啊', '不配为人母 这样的原生家庭让女主怎么清醒啊 跟穷人家的孩子不一定想生在穷人家一个道理', '从我嘴里出来可能就变成阴阳怪气了', '估计是觉得原生家庭不好 就想自己成家吧', '估计是觉得原生家庭不好', '会在以后找补很多缺失 懂我意思吧 原生家庭']","['原生家庭', '原生家庭+搞封建迷信+恋爱脑+自身性格问题', '原生家庭…………']",bullets
44,27,44_不想生关你什么事_你爱领养你别生领养去啊 自己不想生就别生 把自己的想法安插在别人身上_你爱领养你别生领养去啊 自己不想生就别生_你爱领养你别生领养去啊,"['不想生关你什么事', '你爱领养你别生领养去啊 自己不想生就别生 把自己的想法安插在别人身上', '你爱领养你别生领养去啊 自己不想生就别生', '你爱领养你别生领养去啊', '你有条件想生了自然会生 没有条件自然不想生 这就是', '你有条件想生了自然会生 没有条件自然不想生', '你有条件想生了自然会生', '你想生你就生呗谁拦 人家想生关你屁事 能不能滚出去', '你想生你就生呗谁拦 人家想生关你屁事', '你想生你就生呗谁拦']","['遵循自然，你有条件想生了自然会生，没有条件自然不想生，这就是', '为啥要生呢，不生就好啦，让想生的去着急呗', '什么叫某些人又不想生了，不想生关你什么事？你想生你就生呗谁拦']",bullets
