主题ID,数据来源,文档数,前10关键词,关键词得分
11,comments,49,"比如设立一个与生育保险同类的妊娠假保险, 这个关系到千家万户和下一代培养的问题 该是国家应予全面介入的事情 比如设立一个与生育保险同类的妊娠假保险, 这个关系到千家万户和下一代培养的问题, 这个关系到千家万户和下一代培养的问题 该是国家应予全面介入的事情, 该是国家应予全面介入的事情 比如设立一个与生育保险同类的妊娠假保险, 该是国家应予全面介入的事情 比如设立一个与生育保险同类的妊娠假保险 或出台对孕期女职工所在单位给予补贴或假期备选的政策, 该是国家应予全面介入的事情, 等等 总之不应由独立核算的企业来负担, 或出台对孕期女职工所在单位给予补贴或假期备选的政策 等等, 或出台对孕期女职工所在单位给予补贴或假期备选的政策","0.1175, 0.1175, 0.1175, 0.1175, 0.1175, 0.1175, 0.1175, 0.1175, 0.1175, 0.1175"
12,comments,48,"意外, 一些女孩因为, 一些女孩因为 意外, 所有女生, 自爱, 说实话, 不然事情发生了再说 就会更复杂 因为我是站在女生的角度思考的, 不然事情发生了再说, 不是简单通过理性和思维就能解释的 基因问题在人类的生活过程中确实有巨大的影响 我是选择丁克和单身的, 不是简单通过理性和思维就能解释的 基因问题在人类的生活过程中确实有巨大的影响","0.2386, 0.1836, 0.1836, 0.1836, 0.1693, 0.1130, 0.1041, 0.1041, 0.1041, 0.1041"
13,comments,46,"根据某乎要求, 风险提示被删除 期只有一年 超过这一年, 她婚后可以拒绝你的任何要求 最近微博热搜榜第一还有一条, 她婚后可以拒绝你的任何要求, 女性结婚一年左右提出离婚 根据法律规定 几乎不需要退还任何婚姻馈赠, 她婚后可以拒绝你的任何要求 最近微博热搜榜第一还有一条 严格限制老婆乱花钱也属于家暴, 女性结婚一年左右提出离婚 根据法律规定, 女性结婚一年左右提出离婚, 在法律上是没有任何权利的 你为婚姻支付的所有前期费用, 在法律上是没有任何权利的 你为婚姻支付的所有前期费用 离婚时法律不支持你找回","0.0297, 0.0174, 0.0174, 0.0174, 0.0174, 0.0174, 0.0174, 0.0174, 0.0174, 0.0174"
14,comments,45,"肿胀, 不是 为什么那么多叫嚣要男的结扎的女的啊 女的不应该上环是共识, 不是 为什么那么多叫嚣要男的结扎的女的啊, 不愿意结扎的男人不要找不好吗 这年头男的也多的是不想生孩子 愿意结扎的好男人也挺多了, 不愿意结扎的男人不要找不好吗, 不想生就好好戴套 问题是在中国男性如果想要结扎还比较困难 提供该手术的医院很少, 不想生就好好戴套 问题是在中国男性如果想要结扎还比较困难, 不想生就好好戴套, 不想再生育的人群 完全不是近两年网上经常呼吁的 男性结扎不像女性那样可怕, 不想再生育的人群 完全不是近两年网上经常呼吁的","0.0943, 0.0535, 0.0535, 0.0535, 0.0535, 0.0535, 0.0535, 0.0535, 0.0535, 0.0535"
15,comments,45,"上学的时候老师讲过一个例子 有一个外国女性三胎的, 上学的时候老师讲过一个例子, 上学的时候老师讲过一个例子 有一个外国女性三胎的 她阴道瓣还是完整的没有破损, 她阴道瓣还是完整的没有破损 因为非常有弹性所以多次分娩从未破裂损伤, 她阴道瓣还是完整的没有破损, 因为非常有弹性所以多次分娩从未破裂损伤, 有一个外国女性三胎的, 有一个外国女性三胎的 她阴道瓣还是完整的没有破损, 有一个外国女性三胎的 她阴道瓣还是完整的没有破损 因为非常有弹性所以多次分娩从未破裂损伤, 生育过的也有尿失禁","0.2448, 0.2448, 0.2448, 0.2448, 0.2448, 0.2448, 0.2448, 0.2448, 0.2448, 0.2448"
16,comments,43,"有点, 不论男女如果另一半还没有要孩子的打算这么做会吵架 也是不尊重对方 如果你要孩子另一半一直不想要你俩沟通未果不如离婚, 不论男女如果另一半还没有要孩子的打算这么做会吵架, 不论男女如果另一半还没有要孩子的打算这么做会吵架 也是不尊重对方, 也是不尊重对方 如果你要孩子另一半一直不想要你俩沟通未果不如离婚, 也是不尊重对方, 有点 恶心 不论男女如果另一半还没有要孩子的打算这么做会吵架, 恶心 不论男女如果另一半还没有要孩子的打算这么做会吵架, 如果你要孩子另一半一直不想要你俩沟通未果不如离婚, 恶心 不论男女如果另一半还没有要孩子的打算这么做会吵架 也是不尊重对方","0.2962, 0.2142, 0.2142, 0.2142, 0.2142, 0.2142, 0.2142, 0.2142, 0.2142, 0.2142"
17,comments,41,"不洁身自好喜欢瞎搞, 离婚似乎成本更大吧, 我分手之后瞬间生活质量提高一截, 你结婚了发现星生活不和谐怎么办 离婚似乎成本更大吧, 你结婚了发现星生活不和谐怎么办, 为什么总觉得婚前星 不洁身自好喜欢瞎搞 你结婚了发现星生活不和谐怎么办, 为什么总觉得婚前星 不洁身自好喜欢瞎搞, 为什么总觉得婚前星, 不洁身自好喜欢瞎搞 你结婚了发现星生活不和谐怎么办 离婚似乎成本更大吧, 不洁身自好喜欢瞎搞 你结婚了发现星生活不和谐怎么办","0.2236, 0.2236, 0.2236, 0.2236, 0.2236, 0.2236, 0.2236, 0.2236, 0.2236, 0.2236"
18,comments,40,"这让我想起来我朋友的女友前几年在东莞失业了回来跟他结婚这件事 虽然我极力劝阻 但是没用, 这让我想起来我朋友的女友前几年在东莞失业了回来跟他结婚这件事, 虽然我极力劝阻 但是没用, 虽然我极力劝阻, 但是没用, 这让我想起来我朋友的女友前几年在东莞失业了回来跟他结婚这件事 虽然我极力劝阻, 不教我们班 但我走班上课的时候上过他的课 那个男老师三十出头吧应该, 不教我们班 但我走班上课的时候上过他的课, 不想生就不嫁的 你是真没出生在那个年代 什么都高高挂起啊, 不教我们班","0.2099, 0.2099, 0.2099, 0.2099, 0.2099, 0.2099, 0.1190, 0.1190, 0.1190, 0.1190"
19,comments,39,"你会发现, 孩子, 独自抚养孩子, 不是粉但最起码的理智该有的吧, 不是粉但最起码的理智该有的吧 医生, 不是粉但最起码的理智该有的吧 医生 这种事你管不了, 不是我诅咒你 而是你自己的病有一定几率遗传的, 不是我诅咒你 而是你自己的病有一定几率遗传的 夫妻两人也不年轻了, 不想生就不生 感觉现在的社会还是觉得只有结婚了才能生育 无法接受非婚生子, 不是我诅咒你","0.2285, 0.2106, 0.2106, 0.1296, 0.1296, 0.1296, 0.1296, 0.1296, 0.1296, 0.1296"
20,comments,38,"不想生的就不生, 不可能让她为了一个所谓的公司职位 把自己小孩打掉 后来可能发生了些争吵, 不可能让她为了一个所谓的公司职位, 不可能让她为了一个所谓的公司职位 把自己小孩打掉, 不止一套 各种电影光碟和杂志 周末时她如果工作忙就会带我去那时刚建成不久的深圳书城, 不怀孕都不知道自己是什么样的体质, 不止一套, 不想生的就不生 我是男的 之前有阵子胖得很快就有这个妊娠纹了哈哈, 不想生的就不生 我是男的, 不想生的就不生 想生的可以问问自己妈妈 其实不是每个生育过的女性都会有妊娠纹的","0.4897, 0.2777, 0.2777, 0.2777, 0.2777, 0.2777, 0.2777, 0.2777, 0.2777, 0.2777"
21,comments,38,"父母双亡, 婆媳关系关我老干爹什么事, 父母双亡 婆媳关系关我老干爹什么事, 老公, 不坚定啊 调解员劝她就不离婚了, 不坚定啊, 不是我杠, 不是 老公 就是, 不是我杠 以前的女人家庭观念很重, 不是 老公","0.3317, 0.3317, 0.3317, 0.3057, 0.1881, 0.1881, 0.1881, 0.1881, 0.1881, 0.1881"
22,comments,33,"提高生育率, 增加生育率, 为了提升生育率 国家也是下足了功课, 所以叫我们提升生育率对吧, 为了提升生育率, 国家也是下足了功课, 提高生育率 提高生育率, 为了提高生育率都开始胡编乱造了, 绝了, 就这","0.7033, 0.5412, 0.5412, 0.5412, 0.5412, 0.5412, 0.5412, 0.5412, 0.2706, 0.2494"
23,comments,33,"不婚不育保平安, 母胎solo保平安 不婚不恋保平安, 不婚不恋保平安, 母胎solo保平安, 不婚不育的人就没有这个痛苦, 女孩子不结婚不生育才是真的一生幸福, 不婚不育, 不婚不育芳龄永驻 不婚不育芳龄永继 不婚不育的人就没有这个痛苦, 不婚不育芳龄永驻, 不婚不育芳龄永驻 不婚不育芳龄永继","0.3528, 0.1714, 0.1714, 0.1714, 0.1714, 0.1714, 0.1411, 0.0972, 0.0972, 0.0972"
24,comments,31,"不想生的一直自由潇洒吧 作为男生 想劝各位妹子, 不想生的一直自由潇洒吧 作为男生, 不只是生的过程痛苦 还有生完以后的生理性涨奶 老婆说涨奶痛才是排第一, 不想生的一直自由潇洒吧, 不只是生的过程痛苦, 不只是生的过程痛苦 还有生完以后的生理性涨奶, 完整, 真的太不容易了, 真的太惨了, 还有就是","0.4166, 0.4166, 0.4166, 0.4166, 0.4166, 0.4166, 0.3673, 0.3673, 0.3673, 0.3673"
25,comments,31,"绝后, 以前计划生育有强制上环的, 不影响生育, 不影响生育 结扎手术一做就彻底没生育能力了, 不带环就让结扎 要不然不给上户口 我妈自己说的要是带上环真那么难受有害, 不带环就让结扎, 不影响生育 结扎手术一做就彻底没生育能力了 今天才做了手术, 不带环就让结扎 要不然不给上户口, 一直睾w痛, 而男性结扎手术更适合不想再生育的夫妇采用 但也会可能产生痛性结节 附睾淤积","0.0655, 0.0655, 0.0371, 0.0371, 0.0371, 0.0371, 0.0371, 0.0371, 0.0327, 0.0327"
26,comments,31,"生育权只有女性有, 不是一大堆人对着女性天天道德绑架 女性不生, 不是一大堆人对着女性天天道德绑架 女性不生 人类灭绝吗, 不是一大堆人对着女性天天道德绑架, 民法典, 妇女权益保障法, 虽然但是, , , ","1.2854, 0.7290, 0.7290, 0.7290, 0.6427, 0.6427, 0.5568, 0.0000, 0.0000, 0.0000"
27,comments,27,"离婚吧, 家暴只有零次和无数次, 赶紧离婚, 冷知识, 建议离婚, , , , , ","1.1543, 1.1426, 1.0531, 0.5713, 0.5713, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
28,comments,26,"你想离婚 却因为孩子还小没勇气, 完了孩子也不听话学习又差 生活压力压得你喘不过气来 你想离婚, 完了孩子也不听话学习又差, 完了孩子也不听话学习又差 生活压力压得你喘不过气来, 生活压力压得你喘不过气来 你想离婚, 生活压力压得你喘不过气来, 还脾气暴躁 完了孩子也不听话学习又差, 还脾气暴躁, 还脾气暴躁 完了孩子也不听话学习又差 生活压力压得你喘不过气来, 这时候你会后悔没有认识我兄弟","0.0923, 0.0923, 0.0923, 0.0923, 0.0923, 0.0923, 0.0923, 0.0923, 0.0923, 0.0923"
29,comments,25,"妇女有按照国家有关规定生育子女的权利, 也有不生育的自由, 妇女有按照国家有关规定生育子女的权利 也有不生育的自由, 不应被迫孕育她们不想抚育的孩子 你们可以享受一切, 不应该被法律来定性, 不应该被法律来定性 更不应该被宗教来指挥, 不想生别结就好了, 不想生别结就好了 关系生育, 不想要时, 不想生别结就好了 关系生育 我觉得男女双方同意生","0.3712, 0.3712, 0.3712, 0.2430, 0.2430, 0.2430, 0.2430, 0.2430, 0.2430, 0.2430"
30,comments,22,"我自己在阳台玩儿 那个叔叔就过来把我带去他们房间 说给我看一个好玩儿的, 我自己在阳台玩儿, 我自己在阳台玩儿 那个叔叔就过来把我带去他们房间, 邻居是一对夫妻和他们女儿 有一天我发烧了, 我被吓坏了, 我被吓坏了 就瞬间蒙在那里, 我被吓坏了 就瞬间蒙在那里 还好我之后直接跑出去了, 打完吊瓶回来后我妈就去上班了, 打完吊瓶回来后我妈就去上班了 家里就我一个人, 打完吊瓶回来后我妈就去上班了 家里就我一个人 我自己在阳台玩儿","0.0565, 0.0565, 0.0565, 0.0565, 0.0565, 0.0565, 0.0565, 0.0565, 0.0565, 0.0565"
31,comments,22,"不漂亮的我不要哦 其实二胎还是早点生好, 不漂亮的我不要哦 其实二胎还是早点生好 年龄差太多两孩子不亲, 不是个完整的女人啦 别人都生就你不生啦 女的不生孩子还算什么女的啦, 不漂亮的我不要哦, 不是个完整的女人啦 别人都生就你不生啦, 不是个完整的女人啦, 母亲真的很伟大, 彩礼, 结婚, 说实话","0.5832, 0.5832, 0.5832, 0.5832, 0.5832, 0.5832, 0.5142, 0.4234, 0.4234, 0.3164"
32,comments,21,"当时我拼了命的反抗, 我们离婚吧, 事后我吃过药了, 我闺蜜带的我不认识 我回家跟你说, 你要这样想我也没办法 我闺蜜带的我不认识, 我闺蜜带的我不认识 我回家跟你说 我都没跟他说话, 我闺蜜带的我不认识, 你要这样想我也没办法 我闺蜜带的我不认识 我回家跟你说, 反正孩子叫的你爸爸 我们一家人好好的, 反正孩子叫的你爸爸 我们一家人好好的 他来找我了","0.0154, 0.0132, 0.0121, 0.0119, 0.0119, 0.0119, 0.0119, 0.0119, 0.0115, 0.0115"
33,comments,20,"1斤男宝全记录, 害怕勿入 生孩子代价之妊娠纹篇 持续更新, 顺产头胎第20天的肚子 94年产妇顺产7, 持续更新, 持续更新 浅谈, 持续更新 浅谈 为什么我能成为一名母亲, 本打算心平气和复盘怀孕, 本打算心平气和复盘怀孕 结果又吵到半夜两点半, 本打算心平气和复盘怀孕 结果又吵到半夜两点半 如何在生育上跟伴侣达成一致, 比生孩子痛10倍","0.0639, 0.0639, 0.0639, 0.0639, 0.0639, 0.0639, 0.0639, 0.0639, 0.0639, 0.0639"
34,comments,19,"不然内卷的意义和目的是什么 但是大家却没有因为内卷而获得匹配的回报, 不然内卷的意义和目的是什么, 不然内卷的意义和目的是什么 但是大家却没有因为内卷而获得匹配的回报 就好像所有的高三生都拼了命的做题, 我不理解, 没错, 笔记, 而且, 说实话, 但是, ","0.6480, 0.6480, 0.6480, 0.5266, 0.4949, 0.4705, 0.4505, 0.3516, 0.3065, 0.0000"
35,comments,19,"灵魂拷问 哈哈, 哈哈 结婚生育需谨慎, 灵魂拷问 哈哈 结婚生育需谨慎, 结婚生育需谨慎, 灵魂拷问, 不出意外不会生小孩 不代入当事人, 不婚保平安, 不婚保平安 每天一个恐婚小技巧, 不出意外不会生小孩 不代入当事人 纯粹好奇提问, 不出意外不会生小孩","0.4285, 0.4285, 0.4285, 0.4285, 0.4285, 0.2430, 0.2430, 0.2430, 0.2430, 0.2430"
36,comments,17,"高龄产妇, 不怕死 67岁都超高龄产妇了, 不怕死, 不怕死 67岁都超高龄产妇了 而且孩子患病和畸形的概率会大幅提升完全不负责任, 不如说心里那点小九九其实人尽皆知, 不如说心里那点小九九其实人尽皆知 高龄产妇只理解高龄失独的 高龄产妇还这么搞, 不如说心里那点小九九其实人尽皆知 高龄产妇只理解高龄失独的, 何必呢, 我想说, ","1.2925, 0.5302, 0.5302, 0.5302, 0.5302, 0.5302, 0.5302, 0.4308, 0.4308, 0.0000"
37,comments,17,"都是闺蜜 很单纯的喝酒 不搭理男人的, 很单纯的喝酒 不搭理男人的, 很单纯的喝酒 不搭理男人的 你要这样想我也没办法, 不搭理男人的, 不搭理男人的 你要这样想我也没办法, 就是怕你担心 这是个误会, 我都不敢告诉你, 就是怕你担心 这是个误会 不是你想的那样, 我都不敢告诉你 就是怕你担心, 我都不敢告诉你 就是怕你担心 这是个误会","0.0134, 0.0134, 0.0134, 0.0134, 0.0134, 0.0133, 0.0133, 0.0133, 0.0133, 0.0133"
38,comments,17,"下岗再就业, 你也不想中年失业吧叔, 比之前纯科普的播放量好太多了 哈哈, 比之前纯科普的播放量好太多了, 比之前纯科普的播放量好太多了 哈哈 你也不想中年失业吧叔, 哈哈 你也不想中年失业吧叔, 哈哈, , , ","0.7345, 0.7345, 0.7345, 0.7345, 0.7345, 0.7345, 0.4063, 0.0000, 0.0000, 0.0000"
39,comments,17,"不是要经过去计生局备案后 体检后才能生育吗, 不想生就一定要做好措施 不要出现意外再犹豫, 不出意外都不会在20周的时候才去流产 那为了孕期健康, 不然一直是不了解的状态, 不然一直是不了解的状态 等到想要妊娠可能会有各种各样的状况 个人认为每一对准备生育的夫妻都应该了解可能的生育损伤, 不然一直是不了解的状态 等到想要妊娠可能会有各种各样的状况, 不想生就一定要做好措施 不要出现意外再犹豫 生育之前真的要做好很多准备吖, 不是要经过去计生局备案后, 不想生就一定要做好措施, 不出意外都不会在20周的时候才去流产","0.4486, 0.4486, 0.4486, 0.4486, 0.4486, 0.4486, 0.4486, 0.4486, 0.4486, 0.4486"
40,comments,17,"寄生体, 那么, 不应该是我生命的一部分吗, 不可让其生育 还真是为了生育率 连人的命都不顾了, 不应该是我生命的一部分吗 我为了我自己的生活质量, 不应该是我生命的一部分吗 我为了我自己的生活质量 把在我身体里, 不惜伤害自己也要生, 不惜伤害自己也要生 不仅违反自然规律 生了也不和你姓, 不是一句胚胎也算生命能概括的 站着说话腰不疼的 建议自己体验一下再来骂街, 不是一句胚胎也算生命能概括的 站着说话腰不疼的","0.4113, 0.3563, 0.2333, 0.2333, 0.2333, 0.2333, 0.2333, 0.2333, 0.2333, 0.2333"
41,comments,17,"不想承担不避孕的恶果 堕胎 养育, 不想承担不避孕的恶果 堕胎, 不想承担不避孕的恶果, 堕胎, 身体是自己的, , , , , ","1.1664, 1.1664, 1.1664, 0.9478, 0.9478, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
42,comments,16,"不是原因, 不是原因 动动脑子行吗 内卷是呈现的现象, 不是原因 动动脑子行吗, 太累了, , , , , , ","1.4580, 1.4580, 1.4580, 1.2854, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
43,comments,15,"你其实也是爱我的对吧 做人还是糊涂一点好 我以后不会这样了, 我还是爱你的 你其实也是爱我的对吧 做人还是糊涂一点好, 我还是爱你的 你其实也是爱我的对吧, 你其实也是爱我的对吧, 你其实也是爱我的对吧 做人还是糊涂一点好, 你就没有一点点错吗 我还是爱你的 你其实也是爱我的对吧, 当时我拼了命的反抗 其实我也是受害者, 这么多年了我其实还是忘不了他 我们离婚吧 就算你不放手我也要, 可能是孕期酱油吃多了 或许是医院抱错了 孩子长的有点像就可以了, 我现在实在没办法才来找你","0.0194, 0.0194, 0.0194, 0.0194, 0.0194, 0.0194, 0.0189, 0.0183, 0.0160, 0.0158"
44,comments,15,"绝了, 男方, 女方, 我以前看过一个新闻, 20, 然后离婚, 尊重祝福, 好家伙, 离婚了, ","0.5713, 0.5713, 0.5713, 0.5713, 0.5713, 0.5266, 0.4949, 0.4705, 0.4064, 0.0000"
