主题ID,数据来源,文档数,前10关键词,关键词得分
10,replies,93,"能不能看完评论了再评论, 就算复通成功了生育几率也会下降 而且复通手术加上恢复阶段小1万块钱, 就算复通成功了生育几率也会下降, 男性结扎不说复通几率大小 就算复通成功了生育几率也会下降 而且复通手术加上恢复阶段小1万块钱, 男性结扎不说复通几率大小, 压根不管事情的经过 也不看完评论的内容 不回复了, 压根不管事情的经过 也不看完评论的内容, 压根不管事情的经过, 而且复通手术加上恢复阶段小1万块钱, 而且复通手术加上恢复阶段小1万块钱 这确实不比用药用套来的实用","0.0362, 0.0362, 0.0362, 0.0362, 0.0362, 0.0362, 0.0362, 0.0362, 0.0362, 0.0362"
11,replies,92,"我管他谁的伤害大呢 你不想生你给自己结扎带环, 有对力的必要 你俩连生不生都做不了一致意见还过什么大劲, 有对力的必要, 我管他谁的伤害大呢 你不想生你给自己结扎带环 俩人意见不和就离婚呗, 我管他谁的伤害大呢, 及时止损, 明白了, 很真实, 不可能, 我妈","0.2857, 0.2857, 0.2857, 0.2857, 0.2857, 0.2614, 0.1428, 0.1428, 0.1307, 0.1307"
12,replies,87,"万一工作期间任何缘由流胎小产, 换了别的单位 让你多干点文职 整天坐着敲敲电脑打打电话, 整天坐着敲敲电脑打打电话, 整天坐着敲敲电脑打打电话 有什么力气活儿男同事代把手, 整天坐着敲敲电脑打打电话 有什么力气活儿男同事代把手 单位也不用太计较, 明摆着就是幼教, 明摆着就是幼教 真有那么不懂事的孩子撞你一下 出了事谁负责, 有什么力气活儿男同事代把手, 有什么力气活儿男同事代把手 单位也不用太计较, 有什么力气活儿男同事代把手 单位也不用太计较 好的员工也不好找","0.0420, 0.0420, 0.0420, 0.0420, 0.0420, 0.0420, 0.0420, 0.0420, 0.0420, 0.0420"
13,replies,85,"黑人的生育率超过白人不假 但并不代表美国会变成黑人国家 最近十几年美国人生育率最高的是拉丁裔, 人口增长得最快的也是拉丁裔, 人口增长得最快的也是拉丁裔 大多数是墨西哥人, 人口增长得最快的也是拉丁裔 大多数是墨西哥人 黑人的人口数量变化不大, 但并不代表美国会变成黑人国家, 但并不代表美国会变成黑人国家 最近十几年美国人生育率最高的是拉丁裔, 但并不代表美国会变成黑人国家 最近十几年美国人生育率最高的是拉丁裔 人口增长得最快的也是拉丁裔, 大多数是墨西哥人, 大多数是墨西哥人 黑人的人口数量变化不大, 大多数是墨西哥人 黑人的人口数量变化不大 生育率也不高","0.1115, 0.1115, 0.1115, 0.1115, 0.1115, 0.1115, 0.1115, 0.1115, 0.1115, 0.1115"
14,replies,78,"或者禁酒令啥的 我一直觉得北美的禁酒令很神奇, 才会对这种事加以限制就像国内根本不会去讨论种族歧视, 才会对这种事加以限制就像国内根本不会去讨论种族歧视 或者禁酒令啥的, 才会对这种事加以限制就像国内根本不会去讨论种族歧视 或者禁酒令啥的 我一直觉得北美的禁酒令很神奇, 我一直觉得北美的禁酒令很神奇, 只有有问题的地方 才会对这种事加以限制就像国内根本不会去讨论种族歧视 或者禁酒令啥的, 只有有问题的地方 才会对这种事加以限制就像国内根本不会去讨论种族歧视, 或者禁酒令啥的, 只有有问题的地方, 或者禁酒令啥的 我一直觉得北美的禁酒令很神奇 国内不会去讨论种族歧视","0.0966, 0.0966, 0.0966, 0.0966, 0.0966, 0.0966, 0.0966, 0.0966, 0.0966, 0.0704"
15,replies,71,"准备在再怀一个二胎, 准备在再怀一个二胎 准备在再怀一个二胎, 准备在再怀一个二胎 准备在再怀一个二胎 准备在再怀一个二胎, 想要二胎了, 是二胎, 二胎, 正常, , , ","0.5836, 0.5767, 0.5696, 0.0688, 0.0315, 0.0294, 0.0254, 0.0000, 0.0000, 0.0000"
16,replies,70,"上环结扎, 上环结扎 都是国家强制的, 不懂又扯男人干嘛, 上环结扎 都是国家强制的 你应该去问问国家, 不懂又扯男人干嘛 现在那还有人去结扎, 都是国家强制的 你应该去问问国家, 你应该去问问国家, 以前计划生育, 以前计划生育 上环结扎, 以前计划生育 上环结扎 都是国家强制的","0.1454, 0.1454, 0.1454, 0.1454, 0.1454, 0.1454, 0.1454, 0.1454, 0.1454, 0.1454"
17,replies,69,"有孩子以后生活质量, 骂两句还歧视, 现在这女的说要追求爱情就跑了 这叫歧视 我买条狗养大了跟别人跑了, 现在这女的说要追求爱情就跑了 这叫歧视, 现在这女的说要追求爱情就跑了, 现在年轻人应该对职业没啥歧视 叔可以放宽点心 也可以给孩子带个好头, 现在年轻人应该对职业没啥歧视 叔可以放宽点心, 现在年轻人应该对职业没啥歧视, 歧视 买你的时候给好价格了 又供你吃喝到大, 歧视 买你的时候给好价格了","0.1241, 0.1241, 0.1241, 0.1241, 0.1241, 0.1241, 0.1241, 0.1241, 0.1241, 0.1241"
18,replies,68,"寄生, 寄生是指一种生物寄托到另外一种生物上, 所以生气 还有一部分人可能是出于单纯对生产行为抱有某种比较美好的感情和寄托 寄生这个词在大部分情况下毕竟是贬义, 所以生气 还有一部分人可能是出于单纯对生产行为抱有某种比较美好的感情和寄托, 所以生气, 把自己的细胞和遗传信息演化出来的东西说成寄生物种真的怪怪的, 我自己生孕的有自己蛋白质遗传信息的东西被说成是寄生品 一部分人在潜意识中是将后代当做部分自我的投影的, 我自己生孕的有自己蛋白质遗传信息的东西被说成是寄生品, 有人可能会认为将寄生关系当做怀孕的喻体是在侮辱自愿怀孕的孕妇为此做出的牺牲和坚韧的意志, 有人可能会认为将寄生关系当做怀孕的喻体是在侮辱自愿怀孕的孕妇为此做出的牺牲和坚韧的意志 还有类似于","0.1139, 0.0605, 0.0605, 0.0605, 0.0605, 0.0605, 0.0605, 0.0605, 0.0605, 0.0605"
19,replies,66,"抱歉 结婚不是一辈子锁死不能离婚的, 法律规定结婚了一辈子不能离婚 女的没有选择权利 你结婚, 法律规定结婚了一辈子不能离婚, 法律规定结婚了一辈子不能离婚 女的没有选择权利, 此时两人的关系怎么也谈不上和平吧 还是说有什么我没想到的场景, 此时两人的关系怎么也谈不上和平吧 还是说有什么我没想到的场景 看你怎么定义, 感情不和离婚不是很正常吗 法律规定结婚了一辈子不能离婚, 感情不和离婚不是很正常吗 法律规定结婚了一辈子不能离婚 女的没有选择权利, 此时两人的关系怎么也谈不上和平吧, 感情不和离婚不是很正常吗","0.1886, 0.1886, 0.1886, 0.1886, 0.1886, 0.1886, 0.1886, 0.1886, 0.1886, 0.1886"
20,replies,66,"2020年还剩三天竟然还有东西敢说出口我是没想到, 无知识和人格魅力, 无权用于绑架和审判他人 婚姻不是所有社会个体必需的生活方式 性生活却是每个守法守序身心健康的社会个体应有的权益, 无权用于绑架和审判他人 婚姻不是所有社会个体必需的生活方式, 无权用于绑架和审判他人, 或是自己解决生理所需 亦或是不婚主义却享有性生活 她们的人生没有损害自身健康和社会秩序, 或是自己解决生理所需 亦或是不婚主义却享有性生活, 或是自己解决生理所需, 非处 加以荡妇羞辱式人身攻击企图令人不敢批评质疑自己的言论无疑是无知无耻低俗下流野蛮落后的, 性生活却是每个守法守序身心健康的社会个体应有的权益 将生理上的无经验当做女性在婚姻方面的筹码是将女性默认为无人格独立 无经济独立","0.0220, 0.0220, 0.0220, 0.0220, 0.0220, 0.0220, 0.0220, 0.0220, 0.0220, 0.0220"
21,replies,63,"很多时候妇科还用来调整经期解决月经不调, 我就是经常吃短效避孕药的 自己亲身测试过并没有什么问题 没必要谈药色变, 我就是经常吃短效避孕药的, 没必要谈药色变 对身体危害大的是紧急避孕药 我真的才发现原来中国女性对避孕知识了解的这么匮乏, 很多时候妇科还用来调整经期解决月经不调 我就是经常吃短效避孕药的 自己亲身测试过并没有什么问题, 很多时候妇科还用来调整经期解决月经不调 我就是经常吃短效避孕药的, 我就是经常吃短效避孕药的 自己亲身测试过并没有什么问题, 有月经不调它会调节月经, 月经正常反而会让月经紊乱 而且短效避孕药得长期吃, 月经正常反而会让月经紊乱 而且短效避孕药得长期吃 会伤胃","0.1684, 0.1684, 0.1684, 0.1684, 0.1684, 0.1684, 0.1684, 0.1684, 0.1684, 0.1684"
22,replies,57,"顺便问下 大家不都说不给男的结扎吗 您是不是找私立做的手术, 顺便问下 大家不都说不给男的结扎吗, 就是男的容易在40多岁反悔 那时候女的生产很危险的时候后悔 女方就及其弱势了, 就是男的容易在40多岁反悔 那时候女的生产很危险的时候后悔, 就是男的容易在40多岁反悔, 女方就及其弱势了 然后想要娃的男的就离婚再娶 这种不少, 女方就及其弱势了 然后想要娃的男的就离婚再娶, 女方就及其弱势了, 大家不都说不给男的结扎吗 您是不是找私立做的手术, 大家不都说不给男的结扎吗","0.0674, 0.0674, 0.0674, 0.0674, 0.0674, 0.0674, 0.0674, 0.0674, 0.0674, 0.0674"
23,replies,57,"母亲伟大, 恶露, 腹直肌分离, 羊水栓塞, 我有个表姐, 涨奶, 撕裂, 早产, 漏尿, 30","0.4285, 0.3921, 0.3921, 0.3921, 0.2143, 0.2143, 0.2143, 0.2143, 0.2143, 0.1960"
24,replies,56,"很多人不上环面临大概也是无休止的生育和流产吧 好多男人不愿意避孕 因为他们又不吃苦, 很多人不上环面临大概也是无休止的生育和流产吧 好多男人不愿意避孕, 但是对上一辈人来讲, 好多男人不愿意避孕 因为他们又不吃苦 女人选择上环已经算爱护自己的行为了, 很多人不上环面临大概也是无休止的生育和流产吧, 女人选择上环已经算爱护自己的行为了, 因为他们又不吃苦, 好多人都说上环的痛苦, 好多人都说上环的痛苦 但是对上一辈人来讲, 好多人都说上环的痛苦 但是对上一辈人来讲 很多人不上环面临大概也是无休止的生育和流产吧","0.0880, 0.0880, 0.0880, 0.0880, 0.0880, 0.0880, 0.0880, 0.0880, 0.0880, 0.0880"
25,replies,53,"自己都不为自己考虑, 而且有的妈妈已经被老公男权思想洗脑一辈子了, 能跟男的生活这么久本来就不是正常女性了, 真的没人为女人考虑了 这是男人的本性 好男人本身就是个伪命题, 真的没人为女人考虑了 这是男人的本性, 真的没人为女人考虑了, 能跟男的生活这么久本来就不是正常女性了 是精神男人, 父亲还要以男人的思想要求女儿自愿给女婿吸血 而且有的妈妈已经被老公男权思想洗脑一辈子了 能跟男的生活这么久本来就不是正常女性了, 父亲还要以男人的思想要求女儿自愿给女婿吸血 而且有的妈妈已经被老公男权思想洗脑一辈子了, 父亲还要以男人的思想要求女儿自愿给女婿吸血","0.0901, 0.0901, 0.0901, 0.0901, 0.0901, 0.0901, 0.0901, 0.0901, 0.0901, 0.0901"
26,replies,53,"80年代开始计划生育, 80年代开始计划生育 那时候已经想好了为30多年之后开放二胎做准备啦, 80年代开始计划生育 那时候已经想好了为30多年之后开放二胎做准备啦 计生办的工作人员知道他们拉女性去上环是因为复通率高吗, 那时候已经想好了为30多年之后开放二胎做准备啦 计生办的工作人员知道他们拉女性去上环是因为复通率高吗 给女性结扎是不是为了以后开放二胎做准备这个我不清楚, 但我觉得可能是挑选那个相对好一点的结果吧, 请问有新闻或者文献出处吗 80年代开始计划生育 那时候已经想好了为30多年之后开放二胎做准备啦, 计生办的工作人员知道他们拉女性去上环是因为复通率高吗 给女性结扎是不是为了以后开放二胎做准备这个我不清楚, 计生办的工作人员知道他们拉女性去上环是因为复通率高吗 给女性结扎是不是为了以后开放二胎做准备这个我不清楚 但我觉得可能是挑选那个相对好一点的结果吧, 计生办的工作人员知道他们拉女性去上环是因为复通率高吗, 计划生育的时候强迫女性结扎就是因为女性的复通率比男性高 请问有新闻或者文献出处吗 80年代开始计划生育","0.1662, 0.1662, 0.1662, 0.1662, 0.1662, 0.1662, 0.1662, 0.1662, 0.1662, 0.1662"
27,replies,51,"增加产假15天, 女职工劳动保护规定, 怀孕满4个月流产的, 怀孕满4个月流产的 享受42天产假, 我最喜欢的是他去俄罗斯那一集 其中有一个犯人饭点的时候, 对此做了进一步规定 第七条 女职工生育享受98天产假, 总体来说都不错, 怀孕满4个月流产的 享受42天产假 注百度查的, 总体来说都不错 其中一集 我有点觉得老传统了, 总体来说都不错 其中一集","0.0549, 0.0390, 0.0330, 0.0330, 0.0330, 0.0330, 0.0330, 0.0330, 0.0330, 0.0330"
28,replies,50,"男性都能做, 什么的, ok, 而且, 不好意思, 男女同工不同酬, 不是我说, 我就呵呵了, 田园女权, 我是男的","0.4285, 0.3921, 0.3663, 0.3070, 0.2450, 0.2143, 0.2143, 0.2143, 0.1960, 0.1832"
29,replies,50,"没有生育金生孩子不能报销啊, 为了生育金呗 没有生育金生孩子不能报销啊, 为了生育金呗, 为了生育金呗 没有生育金生孩子不能报销啊 为了生育金呗, 没有生育金生孩子不能报销啊 为了生育金呗, 没有生育金生孩子不能报销啊 为了生育金呗 没有生育金生孩子不能报销啊, 所以啊, , , ","0.2983, 0.2983, 0.2983, 0.2948, 0.2948, 0.2948, 0.0142, 0.0000, 0.0000, 0.0000"
30,replies,50,"离婚吧, 离婚了, 谢谢, 怎么说呢, 离婚, 是啊, 呵呵, , , ","0.5757, 0.5444, 0.4129, 0.4129, 0.4029, 0.3851, 0.3431, 0.0000, 0.0000, 0.0000"
31,replies,50,"本科生并没有歧视专科生, 没有地域歧视的意思, 术业有专攻, _ゝ, 真的, 恕我直言, 是相对而言, 或者说, emmm, 说白了","0.3928, 0.3928, 0.3594, 0.2472, 0.2113, 0.1964, 0.1964, 0.1514, 0.1451, 0.1350"
32,replies,49,"然后要分这男方的财产 劝分, 然后要分这男方的财产 劝分 不对等的感情越耗沉没成本越高, 根据某乎要求, 然后再复婚, 然后再复婚 因为首套房利息低一点, 更是怎么样都可以分了, 然后再复婚 因为首套房利息低一点 也就是说两个人一离就是低利息买两套房, 然后要分这男方的财产, 彩礼, 离婚了","0.3626, 0.3626, 0.3626, 0.3626, 0.3626, 0.3626, 0.3626, 0.3626, 0.1659, 0.1466"
33,replies,48,"除非男方就不想要孩子 这要是100年前 这个小姐姐就真的一辈子都完了, 不然婆婆不会一直怪儿媳妇但又没撺掇儿子离婚再找, 不然婆婆不会一直怪儿媳妇但又没撺掇儿子离婚再找 儿子也什么都不说, 不然婆婆不会一直怪儿媳妇但又没撺掇儿子离婚再找 儿子也什么都不说 就是找儿媳妇背锅, 儿子也什么都不说, 儿子也什么都不说 就是找儿媳妇背锅, 儿子也什么都不说 就是找儿媳妇背锅 女方有问题绝对就离了, 除非男方就不想要孩子, 这要是100年前 这个小姐姐就真的一辈子都完了, 这要是100年前","0.1184, 0.1184, 0.1184, 0.1184, 0.1184, 0.1184, 0.1184, 0.1184, 0.1184, 0.1184"
34,replies,47,"但是最可气的是 男人不受苦不管孩子还要通过冠姓把孩子抢走, 但是最可气的是, 但是最可气的是 男人不受苦不管孩子还要通过冠姓把孩子抢走 青春期孩子和妈妈作对就变成了, 其实是一个人的事 男人除了提供那么点精 在生育里什么作用都没有, 其实是一个人的事 男人除了提供那么点精, 其实是一个人的事, 在生育里什么作用都没有 女人才有生育的能力, 在生育里什么作用都没有, 可悲可悲, 女人才有生育的能力","0.0646, 0.0646, 0.0646, 0.0646, 0.0646, 0.0646, 0.0646, 0.0646, 0.0646, 0.0646"
35,replies,44,"性别歧视, 挺好的, 朋友, , , , , , , ","1.5244, 0.9083, 0.9083, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
36,replies,44,"冷暴力 最后有人相信美好的婚姻和可靠的的另一半去结婚生子也值得羡慕和祝福 这算是这世界仅剩的的清流, 所以不婚不孕真的没有错, 所以不婚不孕真的没有错 就算男的不家暴, 一把心愿放在别人身上本来就不应该, 一把心愿放在别人身上本来就不应该 所以后期自己去冰岛才是必须的, 一把心愿放在别人身上本来就不应该 所以后期自己去冰岛才是必须的 二怀孕流产伤害的是自己, 就算男的不家暴 现在的社会两人首婚一辈子也很难 大大小小的烦心事等同于慢性家暴, 就算男的不家暴 现在的社会两人首婚一辈子也很难, 二怀孕流产伤害的是自己, 二怀孕流产伤害的是自己 所以不婚不孕真的没有错","0.0537, 0.0537, 0.0537, 0.0537, 0.0537, 0.0537, 0.0537, 0.0537, 0.0537, 0.0537"
37,replies,44,"一线城市失业可以去二线城市, 真实, 不是我说, 我就呵呵了, 没什么区别, 恶心, 没事, 众所周知, 这样, 怎么办","0.6285, 0.5751, 0.3143, 0.3143, 0.3143, 0.2875, 0.2687, 0.2687, 0.2687, 0.2541"
38,replies,43,"我是不婚主义者, 男的吧, 有什么区别, 生育与否, 关键词, 无所谓, 所以呢, 换句话说, 朋友, 虽然但是","0.6161, 0.3367, 0.3367, 0.3367, 0.3081, 0.2722, 0.2722, 0.2595, 0.2595, 0.2595"
39,replies,41,"残忍啥 对女性的身体伤害吗 你可以去看看女性生育的视频, 残忍啥 对女性的身体伤害吗, 残忍啥, 羊水栓塞, 说得好, 另外, 避孕, 生育, 是的, ","0.7252, 0.7252, 0.7252, 0.3318, 0.3100, 0.3100, 0.2795, 0.2282, 0.1168, 0.0000"
40,replies,40,"or, 目录, 这个, 再者, 想堕胎就堕胎, 没毛病, 我的天, 引用, 很多, 污名化","0.3465, 0.2941, 0.1583, 0.1525, 0.1071, 0.1071, 0.1071, 0.1071, 0.1071, 0.1071"
41,replies,39,"没试过, 不是杠, 想一想, 原来如此, 而且说实话, 对对对, 没有计划生育, 无论男女, 没办法, 还有","0.8571, 0.4285, 0.4285, 0.3921, 0.3921, 0.3663, 0.3663, 0.3049, 0.2696, 0.1787"
42,replies,38,"是啊, 我觉得那部分三观正常的人也不会愿意生活在一个变态多如牛毛的环境, 我们都喜欢偷窥, 我们都喜欢偷窥 你怎么不去啊, 性自由, 我们都喜欢偷窥 你怎么不去啊 你是不是不行, 歧视女性, 现实就是这样, 男女同工不同酬, 男多女少","0.1586, 0.1386, 0.1386, 0.1386, 0.1386, 0.1386, 0.1386, 0.1386, 0.1386, 0.1386"
43,replies,35,"一直在宣传女性的生育行为, 现在越来越多的媒体人或者说知识 也让很多人意识到这是不好的 我觉得这是一个好的事情, 现在越来越多的媒体人或者说知识 也让很多人意识到这是不好的, 现在越来越多的媒体人或者说知识, 比如你评论的热情 她才是在宣传让女性享受安全健康的性 而很多人性, 比如你评论的热情 她才是在宣传让女性享受安全健康的性, 比如你评论的热情, 正确对待两性关系 共同努力 共同幸福, 正确对待两性关系 共同努力, 正确对待两性关系","0.1521, 0.1521, 0.1521, 0.1521, 0.1521, 0.1521, 0.1521, 0.1521, 0.1521, 0.1521"
44,replies,34,"高龄产妇, , , , , , , , , ","4.0298, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
45,replies,34,"不是怕你受伤, 这个功能就没用了 你的损失就不存在了 只要打胎不死, 这个功能就没用了 你的损失就不存在了, 这个功能就没用了, 而是怕你因为打胎以后不能再生了 所谓的伤身体 就是怕伤害生育能力, 而是怕你因为打胎以后不能再生了 所谓的伤身体, 而是怕你因为打胎以后不能再生了, 所谓的伤身体 就是怕伤害生育能力 并不是怕你有什么, 所谓的伤身体 就是怕伤害生育能力, 所谓的伤身体","0.0445, 0.0445, 0.0445, 0.0445, 0.0445, 0.0445, 0.0445, 0.0445, 0.0445, 0.0445"
46,replies,33,"想要就尽早 一定要在老大出社会之前 不然百分之80家庭都会有矛盾, 我的名额也捐给你们, 我的名额也捐给你们 尽一点微薄之力 加油, 我的名额也捐给你们 尽一点微薄之力, 一定要在老大出社会之前, 一定要在老大出社会之前 不然百分之80家庭都会有矛盾, 想要就尽早, 想要就尽早 一定要在老大出社会之前, 加油, 尊重祝福","0.4099, 0.4099, 0.4099, 0.4099, 0.4099, 0.4099, 0.4099, 0.4099, 0.4095, 0.3750"
47,replies,33,"生育你做不了吗哈哈, 我男的, 没人强迫, 想生都不能生, 没有啊, 第一, 哈哈, 第二, , ","1.0476, 0.5238, 0.5238, 0.5238, 0.4792, 0.2873, 0.2716, 0.2624, 0.0000, 0.0000"
48,replies,32,"每次这么想想我是如此特别 更要努力生活了, 每次这么想想我是如此特别, 更要努力生活了, 想不想生孩子, 想不想结婚, 想不想结婚 想不想生孩子, 很遗憾, 在我看来, 经济压力, 生育","0.6285, 0.6285, 0.6285, 0.3143, 0.3143, 0.3143, 0.3143, 0.2875, 0.2875, 0.1977"
49,replies,32,"卖淫, 代孕, 卖淫 代孕, 据我所知, 自由, 强奸, 另一方面, 想多了, 那么, 是啊","0.7111, 0.5074, 0.5074, 0.5074, 0.3813, 0.2773, 0.2537, 0.2137, 0.1906, 0.1586"
50,replies,31,"国家技术发达, 铁憨憨, 这种时候还闲扯丁克和同性恋导致人类灭亡的都是憨憨 铁憨憨, 这种时候还闲扯丁克和同性恋导致人类灭亡的都是憨憨, 这种人活该绝种 把世界繁衍和延续的责任全推到女性身上 说实话就是无能的表现, 这种人活该绝种 把世界繁衍和延续的责任全推到女性身上, 这种人活该绝种, 说实话就是无能的表现 真不生怎么了 大不了不就一起绝种吗, 说实话就是无能的表现 真不生怎么了, 说实话就是无能的表现","0.0893, 0.0893, 0.0893, 0.0893, 0.0893, 0.0893, 0.0893, 0.0893, 0.0893, 0.0893"
